January Minimum Temperature	Precipitation	July Maximum Temperature
Climate for Timestep 1	-1.88	977.9	28.82
Climate for Timestep 2	-2.67	1050	28.52
Climate for Timestep 3	-2.31	932.4	26.84
Climate for Timestep 4	-2.99	901.7	27.27
Climate for Timestep 5	-1.97	1246.7	26.79
Climate for Timestep 6	-2.41	571.7	29.56
Climate for Timestep 7	-3.93	1329.7	28.15
Climate for Timestep 8	1.32	1439.4	26.97
Climate for Timestep 9	-1.06	991.7	28.12
Climate for Timestep 10	-2.84	1095.5	29.4
Climate for Timestep 11	-2.24	1551.1	29.31
Climate for Timestep 12	-1.22	1045.3	29.17
Climate for Timestep 13	-1.64	965.5	28.3
Climate for Timestep 14	-3.34	775	30.74
Climate for Timestep 15	-0.71	939.9	29.96
Climate for Timestep 16	-1.34	490.4	28.64
Climate for Timestep 17	-2.61	1983.3	29
Climate for Timestep 18	-3.54	647.6	30.9
Climate for Timestep 19	-3.65	1317.6	28.7
Climate for Timestep 20	-6.28	1742.9	28.38
Climate for Timestep 21	-3.72	888.9	28.05
Climate for Timestep 22	-4.81	825.4	31.31
Climate for Timestep 23	-2.77	995.7	30.25
Climate for Timestep 24	-3.64	1582	29.46
Climate for Timestep 25	-3.11	327.2	29.44
Climate for Timestep 26	-3.5	1242.9	29.1
Climate for Timestep 27	-1.03	1532.3	28.03
Climate for Timestep 28	-2.87	2067.2	28.75
Climate for Timestep 29	-2.59	751.1	28.5
Climate for Timestep 30	-3.03	1607.2	28.64
Climate for Timestep 31	-1.77	822.6	28.61
Climate for Timestep 32	-2.42	1128	29.87
Climate for Timestep 33	-1.86	1036	31.49
Climate for Timestep 34	-0.59	268.4	30.97
Climate for Timestep 35	-0.05	1265.7	29.32
Climate for Timestep 36	-4.14	1131.5	30.37
Climate for Timestep 37	-2.69	661.9	29.73
Climate for Timestep 38	-1.01	1485.2	28.82
Climate for Timestep 39	-4.03	1102.8	30.26
Climate for Timestep 40	-2.56	957.2	29.05
Climate for Timestep 41	-8.83	710.8	30.15
Climate for Timestep 42	-1.64	1272.3	30.23
Climate for Timestep 43	-1.56	1446.7	30.45
Climate for Timestep 44	-0.12	937	30.67
Climate for Timestep 45	-2.75	817.8	29.98
Climate for Timestep 46	-1.37	925.3	29.66
Climate for Timestep 47	-3.68	1032.8	29.75
Climate for Timestep 48	-5.14	723.6	31.83
Climate for Timestep 49	0.83	1481.1	29.93
Climate for Timestep 50	-3.27	778.7	29.91
Climate for Timestep 51	-6.03	1459.4	30.85
Climate for Timestep 52	0.83	789.1	31.42
Climate for Timestep 53	-3.09	884.7	33.01
Climate for Timestep 54	-1.4	244.5	31.28
Climate for Timestep 55	-4.06	593.8	31.88
Climate for Timestep 56	-4.84	1360.6	30.77
Climate for Timestep 57	-3.66	1257.2	30.27
Climate for Timestep 58	-4.29	641.5	30.55
Climate for Timestep 59	0.49	484.1	32.32
Climate for Timestep 60	0.39	813.5	31.72
Climate for Timestep 61	-3.14	1172.7	32.01
Climate for Timestep 62	-0.5	1537.7	31.43
Climate for Timestep 63	-0.43	1179.3	33.02
Climate for Timestep 64	0	939.9	31.4
Climate for Timestep 65	-1.11	1104.2	31.35
Climate for Timestep 66	-0.54	918.7	33.05
Climate for Timestep 67	-4.1	990.6	32.21
Climate for Timestep 68	-2.64	1069.4	31.16
Climate for Timestep 69	0.47	1042.3	32.73
Climate for Timestep 70	-2.31	442.4	32.71
Climate for Timestep 71	-0.98	467.4	31.08
Climate for Timestep 72	0.69	972.3	32.68
Climate for Timestep 73	-0.78	2085.8	31.72
Climate for Timestep 74	-0.74	943.5	34.38
Climate for Timestep 75	-2.49	843.5	32.29
Climate for Timestep 76	-0.04	1157.4	31.89
Climate for Timestep 77	-1.24	1281.1	32.84
Climate for Timestep 78	-1.32	579.4	32.7
Climate for Timestep 79	0.37	1078.5	31.73
Climate for Timestep 80	1.85	892	32.42
Climate for Timestep 81	1.72	1873.6	32.13
Climate for Timestep 82	0.7	1317.3	31.36
Climate for Timestep 83	1.21	1739.7	31.92
Climate for Timestep 84	2.18	2216.1	33.08
Climate for Timestep 85	0.29	856.1	34.39
Climate for Timestep 86	-2.7	824	32.41
Climate for Timestep 87	-0.63	602.9	33.34
Climate for Timestep 88	-0.05	603	33.92
Climate for Timestep 89	2.38	1571	32.71
Climate for Timestep 90	-0.09	1321.8	35.49
Climate for Timestep 91	-1.89	708.2	34.04
Climate for Timestep 92	1.25	1039.9	32.98
Climate for Timestep 93	2.05	1589.7	34.86
