January Minimum Temperature	Precipitation	July Maximum Temperature
Climate for Timestep 1	-1.07	1240.4	29.02
Climate for Timestep 2	-1.06	392.9	28.99
Climate for Timestep 3	-0.37	1400.4	29.58
Climate for Timestep 4	-1.35	737.9	29.68
Climate for Timestep 5	-1.87	1791.4	29.95
Climate for Timestep 6	-1.11	811.9	29.9
Climate for Timestep 7	-4.16	1490.9	29.67
Climate for Timestep 8	-0.12	1334.2	27.95
Climate for Timestep 9	-2.83	1409.2	27.85
Climate for Timestep 10	-0.42	1411.9	29.69
Climate for Timestep 11	-2.51	1515.3	28.47
Climate for Timestep 12	-0.57	1316.5	28.71
Climate for Timestep 13	-2.58	1573.4	27.95
Climate for Timestep 14	-3.1	1737.2	27.42
Climate for Timestep 15	-4.66	919.4	28.3
Climate for Timestep 16	-2.23	1447.9	28.81
Climate for Timestep 17	-0.96	1542	27.48
Climate for Timestep 18	-0.19	1078.7	29.87
Climate for Timestep 19	-1.79	884.8	29.12
Climate for Timestep 20	-1.26	1371.4	29.3
Climate for Timestep 21	-4.08	1638.5	30.06
Climate for Timestep 22	-2.41	796.8	29.43
Climate for Timestep 23	-0.91	1277.2	29.15
Climate for Timestep 24	-3.05	841.9	27.15
Climate for Timestep 25	-0.93	1693.3	26.98
Climate for Timestep 26	-2.32	2311.8	29.6
Climate for Timestep 27	0.51	983.5	27.35
Climate for Timestep 28	0.11	1178.8	26.79
Climate for Timestep 29	0.33	1096.2	30.55
Climate for Timestep 30	-1.65	1974.6	29
Climate for Timestep 31	-2.63	1190.8	27.96
Climate for Timestep 32	-0.38	1037.8	30.09
Climate for Timestep 33	-1.23	1806.9	28.84
Climate for Timestep 34	-5.16	554.2	30.61
Climate for Timestep 35	-3.25	1021.6	30.21
Climate for Timestep 36	-1.27	1459.9	30.65
Climate for Timestep 37	-0.04	1792.7	30.55
Climate for Timestep 38	-0.06	1296.8	30.35
Climate for Timestep 39	0.7	702.3	30.04
Climate for Timestep 40	0.12	1372.1	29.09
Climate for Timestep 41	0.26	1190.3	27.05
Climate for Timestep 42	-3.74	1087.5	30.17
Climate for Timestep 43	-3.53	1307.9	28.96
Climate for Timestep 44	-1.45	1275.5	28.16
Climate for Timestep 45	0.94	2550.3	29.32
Climate for Timestep 46	-3.89	629.4	29.37
Climate for Timestep 47	-1.64	733	29.09
Climate for Timestep 48	1	666.5	31.65
Climate for Timestep 49	0.39	1265	29.97
Climate for Timestep 50	0.81	1576.3	29.02
Climate for Timestep 51	2.46	1785.4	30.31
Climate for Timestep 52	1.2	1255.7	29.93
Climate for Timestep 53	-0.8	1689.8	29.52
Climate for Timestep 54	2.41	1453.3	31.52
Climate for Timestep 55	-0.56	1461.7	30.68
Climate for Timestep 56	1.06	554.6	32.29
Climate for Timestep 57	1.64	1558.6	31.18
Climate for Timestep 58	-1.02	814.2	29.25
Climate for Timestep 59	-2.11	1326.2	30.37
Climate for Timestep 60	1.07	1056.6	32.25
Climate for Timestep 61	0.96	1002.8	31.44
Climate for Timestep 62	-0.41	479.7	32.29
Climate for Timestep 63	0.62	1715.7	32.98
Climate for Timestep 64	2.25	1778.5	29.29
Climate for Timestep 65	0.2	357.9	32.6
Climate for Timestep 66	0.92	1800.5	31.43
Climate for Timestep 67	-0.34	1139.2	31.49
Climate for Timestep 68	0.98	1937.7	29.38
Climate for Timestep 69	2.48	1479	28.61
Climate for Timestep 70	3.33	871.2	33.91
Climate for Timestep 71	1.26	1426.1	30.67
Climate for Timestep 72	-0.42	853.5	28.83
Climate for Timestep 73	2.07	1423.2	29.18
Climate for Timestep 74	0.14	2643	32.74
Climate for Timestep 75	2.6	979.8	29.24
Climate for Timestep 76	2.05	1314.1	31.63
Climate for Timestep 77	2.5	645.3	30.81
Climate for Timestep 78	-1.54	922.8	32.82
Climate for Timestep 79	2.4	723.3	32.61
Climate for Timestep 80	0.49	1752.2	33.05
Climate for Timestep 81	2.38	2281.9	32.51
Climate for Timestep 82	0.39	1168.8	31.43
Climate for Timestep 83	3.1	1466	30.84
Climate for Timestep 84	4.41	2673.7	33.7
Climate for Timestep 85	4.5	2090	33.2
Climate for Timestep 86	1.31	1296.1	33.32
Climate for Timestep 87	0.41	1265.4	31.12
Climate for Timestep 88	5.11	1443	33.24
Climate for Timestep 89	3.21	2088.2	32.24
Climate for Timestep 90	2.42	564.9	31.57
Climate for Timestep 91	1.27	1270.2	32.7
Climate for Timestep 92	3.06	1087.9	32.38
Climate for Timestep 93	3.23	1384.7	32.92
