January Minimum Temperature	Precipitation	July Maximum Temperature
Climate for Timestep 1	-2	1778.8	27.78
Climate for Timestep 2	-2.32	1627.6	26.09
Climate for Timestep 3	-3.75	858.1	29.95
Climate for Timestep 4	-2.25	831.1	29.9
Climate for Timestep 5	-3.89	960.3	26.17
Climate for Timestep 6	-2.66	1036.7	27.24
Climate for Timestep 7	-3.93	771.3	26.56
Climate for Timestep 8	-4.1	1091.5	26.83
Climate for Timestep 9	-6.3	930.9	28
Climate for Timestep 10	-4.14	1086.4	27.85
Climate for Timestep 11	-1.97	1141.6	29.36
Climate for Timestep 12	-1.29	1094.8	30.83
Climate for Timestep 13	-1.84	1382.5	27.17
Climate for Timestep 14	-2.14	877.3	31.16
Climate for Timestep 15	-1.08	864.9	28.75
Climate for Timestep 16	-0.6	475.2	29.34
Climate for Timestep 17	-2.27	908.8	28.28
Climate for Timestep 18	-2.02	1574.5	32.9
Climate for Timestep 19	-1.57	1179.8	29.45
Climate for Timestep 20	-6.31	932.2	30.8
Climate for Timestep 21	-1.54	848.4	31.61
Climate for Timestep 22	-1.16	1563.2	30.06
Climate for Timestep 23	-2.35	1518.3	30.06
Climate for Timestep 24	-0.59	832.5	31.57
Climate for Timestep 25	-4.2	1034	31.2
Climate for Timestep 26	-3.84	899.3	32.63
Climate for Timestep 27	-0.66	913.8	30.32
Climate for Timestep 28	-2.59	1219.2	30.48
Climate for Timestep 29	-3.05	878.6	30.12
Climate for Timestep 30	-2.3	1142.6	31.35
Climate for Timestep 31	-2.84	1069.3	32.49
Climate for Timestep 32	-4.75	1437.4	29.95
Climate for Timestep 33	0	1016	30.53
Climate for Timestep 34	-0.55	461.8	31.69
Climate for Timestep 35	-0.97	1752.9	31.65
Climate for Timestep 36	-2.62	537.3	33.52
Climate for Timestep 37	-4.52	856.4	31.94
Climate for Timestep 38	0.06	1150.4	30.77
Climate for Timestep 39	-2.27	1003.3	31.48
Climate for Timestep 40	0.73	724.8	33.27
Climate for Timestep 41	-2.11	630.5	30.44
Climate for Timestep 42	-0.73	1043.1	30.2
Climate for Timestep 43	0.11	1005.4	32.58
Climate for Timestep 44	-1.71	734.9	31.74
Climate for Timestep 45	-0.81	614.9	32.27
Climate for Timestep 46	1.12	1000.8	32.94
Climate for Timestep 47	0.03	861.8	32.78
Climate for Timestep 48	-1.43	455	31.69
Climate for Timestep 49	-0.27	723	33.66
Climate for Timestep 50	-3.31	1151.8	33.59
Climate for Timestep 51	-0.24	925	32.3
Climate for Timestep 52	0.28	581.3	32.44
Climate for Timestep 53	1.78	1061.3	33.08
Climate for Timestep 54	0.46	849.1	34.26
Climate for Timestep 55	-2.56	947.1	35.04
Climate for Timestep 56	1.02	1008.4	33.5
Climate for Timestep 57	-0.39	553	34.42
Climate for Timestep 58	-5.22	535.5	32.02
Climate for Timestep 59	-0.55	572.6	32.34
Climate for Timestep 60	-2.54	751.9	33.33
Climate for Timestep 61	1.41	568	32.91
Climate for Timestep 62	-0.35	880.3	33.07
Climate for Timestep 63	0.17	1149.8	32.46
Climate for Timestep 64	-2.5	548	33.99
Climate for Timestep 65	2.41	1104.8	35.53
Climate for Timestep 66	0.92	947.8	34.71
Climate for Timestep 67	0.39	929.4	33.1
Climate for Timestep 68	0.09	881.5	33.65
Climate for Timestep 69	1.57	817.4	36.38
Climate for Timestep 70	0.43	662.9	34
Climate for Timestep 71	-2.18	800.3	34.93
Climate for Timestep 72	2.31	1016.1	34.07
Climate for Timestep 73	-1.12	899.1	33.95
Climate for Timestep 74	2.32	620.7	36.22
Climate for Timestep 75	1.41	607.7	35.75
Climate for Timestep 76	0.69	552.3	34.31
Climate for Timestep 77	1.22	1057.8	33.28
Climate for Timestep 78	1.68	676.8	33.95
Climate for Timestep 79	-0.51	1065.8	35.58
Climate for Timestep 80	0.53	580	35.13
Climate for Timestep 81	-1.08	613.4	34.24
Climate for Timestep 82	-0.13	546.3	34.73
Climate for Timestep 83	-0.43	655.6	34.73
Climate for Timestep 84	0.6	862	34.37
Climate for Timestep 85	2.64	662.2	35.17
Climate for Timestep 86	1.22	401.7	34.81
Climate for Timestep 87	-2	1394.9	36.91
Climate for Timestep 88	3.73	766.2	36.07
Climate for Timestep 89	-0.5	617.6	34.23
Climate for Timestep 90	1.03	1210.7	37.73
Climate for Timestep 91	3.01	1205.3	37.55
Climate for Timestep 92	2	212.2	35
Climate for Timestep 93	1.15	516	36.6
