January Minimum Temperature	Precipitation	July Maximum Temperature
Climate for Timestep 1	-5.89	1323.4	22.84
Climate for Timestep 2	-6.87	1417.2	22.42
Climate for Timestep 3	-6.48	1122.8	20.45
Climate for Timestep 4	-6.86	1366.6	20.86
Climate for Timestep 5	-6.22	1156.1	20.52
Climate for Timestep 6	-6.89	883.9	23.08
Climate for Timestep 7	-8.58	1392.9	22.14
Climate for Timestep 8	-2.68	2096	20.88
Climate for Timestep 9	-5	1124.4	21.91
Climate for Timestep 10	-6.89	1285.2	23.35
Climate for Timestep 11	-6.29	1863.1	23.1
Climate for Timestep 12	-5.11	1627.4	23.19
Climate for Timestep 13	-5.67	1462	21.87
Climate for Timestep 14	-7.52	1044.8	24.6
Climate for Timestep 15	-4.52	1275.8	24.11
Climate for Timestep 16	-5.62	594	22.29
Climate for Timestep 17	-6.58	2248.1	23.09
Climate for Timestep 18	-7.53	864.7	24.94
Climate for Timestep 19	-8.3	1548.6	22.45
Climate for Timestep 20	-10.5	2482.5	22.23
Climate for Timestep 21	-8.25	1062.6	21.81
Climate for Timestep 22	-9.38	1568.4	25.16
Climate for Timestep 23	-7.19	1479.2	24.41
Climate for Timestep 24	-8.06	1975.1	23.4
Climate for Timestep 25	-7.69	528	23.69
Climate for Timestep 26	-7.81	1519.2	22.98
Climate for Timestep 27	-5.4	1787	21.8
Climate for Timestep 28	-7.04	2495	22.69
Climate for Timestep 29	-6.93	890.5	22.73
Climate for Timestep 30	-8.13	1842.5	22.65
Climate for Timestep 31	-5.62	1181.2	22.47
Climate for Timestep 32	-6.75	1447.5	23.88
Climate for Timestep 33	-6.35	1570.2	25.01
Climate for Timestep 34	-4.53	432.9	25.03
Climate for Timestep 35	-3.87	1512.7	22.95
Climate for Timestep 36	-8.39	1424.4	24.43
Climate for Timestep 37	-7.2	1054.4	23.25
Climate for Timestep 38	-4.94	1994.9	22.62
Climate for Timestep 39	-8.17	1559.8	24.09
Climate for Timestep 40	-6.73	1254.5	22.98
Climate for Timestep 41	-13.06	1126.8	24.25
Climate for Timestep 42	-6.27	1738.7	24.12
Climate for Timestep 43	-5.21	1499.1	24.35
Climate for Timestep 44	-3.84	1575.1	24.86
Climate for Timestep 45	-6.76	1156.8	23.5
Climate for Timestep 46	-5.45	1337.2	23.42
Climate for Timestep 47	-8.27	1187.7	23.39
Climate for Timestep 48	-9.58	1116.8	25.87
Climate for Timestep 49	-3.84	2292.5	23.39
Climate for Timestep 50	-7.81	846.3	23.83
Climate for Timestep 51	-10.34	1460.4	24.78
Climate for Timestep 52	-3.18	1075.4	24.98
Climate for Timestep 53	-7.52	1162.8	27.01
Climate for Timestep 54	-5.3	381.4	25.26
Climate for Timestep 55	-8.24	849.8	25.72
Climate for Timestep 56	-9.2	1671.4	24.41
Climate for Timestep 57	-8.4	1746.6	23.83
Climate for Timestep 58	-8.73	732.8	24.77
Climate for Timestep 59	-3.35	673.4	26.27
Climate for Timestep 60	-3.85	1092	25.47
Climate for Timestep 61	-7.26	1655.3	25.8
Climate for Timestep 62	-4.36	2046.9	25.34
Climate for Timestep 63	-4.44	1762.1	26.95
Climate for Timestep 64	-3.77	1515.2	24.77
Climate for Timestep 65	-4.93	1250.7	25.16
Climate for Timestep 66	-4.52	1456.1	27.11
Climate for Timestep 67	-8.25	1435.6	25.98
Climate for Timestep 68	-6.93	1339	24.98
Climate for Timestep 69	-3.36	1332.3	26.59
Climate for Timestep 70	-6.7	532.2	26.9
Climate for Timestep 71	-4.95	611.5	24.74
Climate for Timestep 72	-3.56	1131.2	26.43
Climate for Timestep 73	-4.97	2620.7	25.85
Climate for Timestep 74	-5.07	1600.8	28.47
Climate for Timestep 75	-7	1141	26.03
Climate for Timestep 76	-3.88	1360.5	25.69
Climate for Timestep 77	-5.17	1484.1	26.92
Climate for Timestep 78	-5.57	799.7	26.61
Climate for Timestep 79	-4.08	1503.6	25.75
Climate for Timestep 80	-1.7	1521.1	26.49
Climate for Timestep 81	-1.97	2289.3	25.77
Climate for Timestep 82	-3.37	1663	25.38
Climate for Timestep 83	-2.8	2005.6	25.95
Climate for Timestep 84	-1.76	3088.6	26.92
Climate for Timestep 85	-3.79	1244.5	28.29
Climate for Timestep 86	-6.71	807.2	26.42
Climate for Timestep 87	-4.63	860.4	27.35
Climate for Timestep 88	-4.3	998.7	27.89
Climate for Timestep 89	-1.3	2443.1	26.65
Climate for Timestep 90	-4.09	1897.1	29.61
Climate for Timestep 91	-6.34	969.3	28.38
Climate for Timestep 92	-2.91	1351.5	26.79
Climate for Timestep 93	-1.94	2177.8	29.39
