January Minimum Temperature	Precipitation	July Maximum Temperature
Climate for Timestep 1	-4.96	1660.9	23.03
Climate for Timestep 2	-5.06	509.4	22.73
Climate for Timestep 3	-4.48	1743.4	23.01
Climate for Timestep 4	-5.76	855.7	23.6
Climate for Timestep 5	-6.65	2428.7	23.69
Climate for Timestep 6	-4.77	1208.7	23.7
Climate for Timestep 7	-8.93	1865.2	23.53
Climate for Timestep 8	-4.04	1642.9	22.01
Climate for Timestep 9	-6.94	1656.6	22.09
Climate for Timestep 10	-4.55	1896.6	23.35
Climate for Timestep 11	-6.73	1829.4	22.2
Climate for Timestep 12	-4.98	2158.2	22.39
Climate for Timestep 13	-7.17	1928.9	21.17
Climate for Timestep 14	-7.1	2349.7	21.1
Climate for Timestep 15	-8.84	1165.9	21.99
Climate for Timestep 16	-6.88	1710.3	22.3
Climate for Timestep 17	-5.05	1776.2	21.76
Climate for Timestep 18	-3.76	1538.9	23.56
Climate for Timestep 19	-5.71	1398.4	23.13
Climate for Timestep 20	-5.8	1586.4	23.38
Climate for Timestep 21	-8.28	1716.9	23.7
Climate for Timestep 22	-6.21	1302.6	23.26
Climate for Timestep 23	-5.04	1652.5	22.53
Climate for Timestep 24	-6.76	1379.5	21.11
Climate for Timestep 25	-4.89	2444.5	20.71
Climate for Timestep 26	-5.96	2930.9	23.13
Climate for Timestep 27	-3.33	1241.2	21.25
Climate for Timestep 28	-3.92	1630.5	20.56
Climate for Timestep 29	-3.35	1949.4	24.88
Climate for Timestep 30	-5.08	2314	22.81
Climate for Timestep 31	-6.37	1521.9	22.19
Climate for Timestep 32	-4.06	1541.9	23.89
Climate for Timestep 33	-4.88	2151	23.33
Climate for Timestep 34	-9.95	799.1	24.06
Climate for Timestep 35	-7.67	1371	23.98
Climate for Timestep 36	-5.45	1774.3	24.5
Climate for Timestep 37	-4.95	2346.4	24.69
Climate for Timestep 38	-4.33	1866.2	24.05
Climate for Timestep 39	-2.86	944.7	23.98
Climate for Timestep 40	-3.77	1664.1	22.81
Climate for Timestep 41	-4.29	1758.5	21.4
Climate for Timestep 42	-8.55	1466.4	23.86
Climate for Timestep 43	-8.19	1643.3	22.61
Climate for Timestep 44	-6.12	1595	21.78
Climate for Timestep 45	-2.79	3737.2	22.76
Climate for Timestep 46	-8.73	804.2	23.16
Climate for Timestep 47	-5.55	1076.3	22.42
Climate for Timestep 48	-2.82	1102.1	25.21
Climate for Timestep 49	-3.87	1514.2	23.53
Climate for Timestep 50	-3.13	2176.8	22.82
Climate for Timestep 51	-0.85	2480.8	24.14
Climate for Timestep 52	-2.48	1448.4	24.22
Climate for Timestep 53	-4.95	2325.8	23.73
Climate for Timestep 54	-1.71	2406.5	25.38
Climate for Timestep 55	-4.26	2119.3	24.32
Climate for Timestep 56	-2.6	827.9	26.04
Climate for Timestep 57	-2.01	1901	25.1
Climate for Timestep 58	-5.45	1018.7	23.5
Climate for Timestep 59	-6.37	1739.2	24.61
Climate for Timestep 60	-3.02	1244.4	25.48
Climate for Timestep 61	-2.66	1373.6	25.37
Climate for Timestep 62	-4.55	729	26.19
Climate for Timestep 63	-3.25	2244	27.02
Climate for Timestep 64	-1.58	2057	23.1
Climate for Timestep 65	-4.16	553.4	26.89
Climate for Timestep 66	-3.27	2566.8	25.48
Climate for Timestep 67	-4.38	1670.8	25.38
Climate for Timestep 68	-2.95	2937.4	23.95
Climate for Timestep 69	-1.28	2633.2	22.9
Climate for Timestep 70	0	1319.6	27.53
Climate for Timestep 71	-2.14	1429.6	24.96
Climate for Timestep 72	-4.58	1147.1	22.68
Climate for Timestep 73	-1.43	1930.4	23.51
Climate for Timestep 74	-3.32	3530.5	26.61
Climate for Timestep 75	-1.18	1206.5	22.84
Climate for Timestep 76	-2.05	1620.1	25.63
Climate for Timestep 77	-1.18	756.8	24.7
Climate for Timestep 78	-5.83	1265.7	26.51
Climate for Timestep 79	-1.26	1070.1	26.48
Climate for Timestep 80	-3.53	2148.4	27.3
Climate for Timestep 81	-1.52	3014.5	26.95
Climate for Timestep 82	-3.25	1390.8	25.74
Climate for Timestep 83	-0.46	1864.2	25.19
Climate for Timestep 84	0.66	2848.5	27.75
Climate for Timestep 85	1.01	3073.1	27.08
Climate for Timestep 86	-2.72	1941	27.31
Climate for Timestep 87	-3.88	1580.6	25.16
Climate for Timestep 88	1.38	1938.8	27
Climate for Timestep 89	-0.28	2508.8	26.4
Climate for Timestep 90	-1.85	814.7	26
Climate for Timestep 91	-2.8	1591.2	26.87
Climate for Timestep 92	-0.51	1652.6	25.44
Climate for Timestep 93	-0.48	2044.3	26.52
