January Minimum Temperature	Precipitation	July Maximum Temperature
Climate for Timestep 1	-6.19	2001.8	21.19
Climate for Timestep 2	-6.39	2136.4	19.43
Climate for Timestep 3	-8.01	1086.8	23.59
Climate for Timestep 4	-6.81	1325.8	23.76
Climate for Timestep 5	-8.21	1441.3	19.79
Climate for Timestep 6	-7.37	1549.2	21.24
Climate for Timestep 7	-8.26	1003.7	20.07
Climate for Timestep 8	-8.39	1408	20.17
Climate for Timestep 9	-10.44	1190.1	22.01
Climate for Timestep 10	-8.23	1316.9	21.73
Climate for Timestep 11	-6.53	1464.9	22.66
Climate for Timestep 12	-6.2	1505.8	24.47
Climate for Timestep 13	-6.44	1756.8	20.49
Climate for Timestep 14	-6.62	1227.2	24.63
Climate for Timestep 15	-5.87	1268.7	22.04
Climate for Timestep 16	-5.37	768.3	22.52
Climate for Timestep 17	-6.7	1433.5	21.63
Climate for Timestep 18	-6.59	1804.2	26.27
Climate for Timestep 19	-6.56	1348.2	22.76
Climate for Timestep 20	-10.49	1204.6	24.44
Climate for Timestep 21	-5.23	1172.4	26.06
Climate for Timestep 22	-5.26	1683.6	23.3
Climate for Timestep 23	-7.57	1797.8	23.3
Climate for Timestep 24	-4.82	942.6	24.61
Climate for Timestep 25	-8.75	1127.4	24.98
Climate for Timestep 26	-7.82	1191.1	25.43
Climate for Timestep 27	-4.79	1159.9	23.54
Climate for Timestep 28	-6.56	1297.2	23.59
Climate for Timestep 29	-8.19	1192.5	23.84
Climate for Timestep 30	-6.73	1273.1	25.26
Climate for Timestep 31	-7.5	1146.1	25.55
Climate for Timestep 32	-9.03	1635.7	23.41
Climate for Timestep 33	-3.88	1223.2	24
Climate for Timestep 34	-4.86	613.7	25.59
Climate for Timestep 35	-5.5	2037.3	25.27
Climate for Timestep 36	-7.42	640	27.54
Climate for Timestep 37	-8.45	1226.3	25.99
Climate for Timestep 38	-3.92	1406.2	24.72
Climate for Timestep 39	-7.01	1224.1	25.05
Climate for Timestep 40	-3.04	979.7	27.86
Climate for Timestep 41	-6.4	635.4	24.3
Climate for Timestep 42	-4.79	1457.6	24.17
Climate for Timestep 43	-4.77	1252.3	25.97
Climate for Timestep 44	-5.95	805.3	25.72
Climate for Timestep 45	-5.28	811.6	27.1
Climate for Timestep 46	-3.11	1277.6	27.26
Climate for Timestep 47	-5.04	1216.8	28
Climate for Timestep 48	-6.35	647.3	26.21
Climate for Timestep 49	-4.41	888.5	28.67
Climate for Timestep 50	-7.29	1184.4	27.93
Climate for Timestep 51	-5.11	1352.3	26.34
Climate for Timestep 52	-3.94	956.5	26.89
Climate for Timestep 53	-2.52	1305.4	27.11
Climate for Timestep 54	-4.68	1095.6	28.18
Climate for Timestep 55	-6.93	1128.6	29.29
Climate for Timestep 56	-3.36	1643.8	27.57
Climate for Timestep 57	-4.81	795.5	28.43
Climate for Timestep 58	-9.67	724.9	26.51
Climate for Timestep 59	-5.41	648.5	26.94
Climate for Timestep 60	-7.16	742.9	28.27
Climate for Timestep 61	-2.76	717.8	27.66
Climate for Timestep 62	-5.02	931.1	27.56
Climate for Timestep 63	-4.06	1336.3	26.9
Climate for Timestep 64	-7.15	745.2	28.13
Climate for Timestep 65	-1.99	1410	29.41
Climate for Timestep 66	-3.89	1026.2	29.11
Climate for Timestep 67	-3.69	1144.3	27.41
Climate for Timestep 68	-4.38	1095.2	27.52
Climate for Timestep 69	-2.63	1101.2	29.93
Climate for Timestep 70	-3.98	889.9	28.3
Climate for Timestep 71	-6.37	940.6	29.7
Climate for Timestep 72	-2.04	1295.7	28.03
Climate for Timestep 73	-5.61	1415.6	28.17
Climate for Timestep 74	-2.05	621.2	31.37
Climate for Timestep 75	-3.38	831.6	30.92
Climate for Timestep 76	-3.92	782.3	29.27
Climate for Timestep 77	-3.25	1343.4	28.02
Climate for Timestep 78	-3.01	923.1	29.24
Climate for Timestep 79	-4.67	1389.8	30.17
Climate for Timestep 80	-3.91	753.4	30.22
Climate for Timestep 81	-5.66	1085.1	28.47
Climate for Timestep 82	-4.3	675.6	29.51
Climate for Timestep 83	-4.73	886.4	29.76
Climate for Timestep 84	-3.56	955.8	29.4
Climate for Timestep 85	-1.49	938.5	29.96
Climate for Timestep 86	-2.98	609.7	29.9
Climate for Timestep 87	-7.07	1579.4	31.25
Climate for Timestep 88	-0.86	1020.7	29.91
Climate for Timestep 89	-4.64	792.9	28.85
Climate for Timestep 90	-3.32	1494.7	31.58
Climate for Timestep 91	-1.18	1601.3	31.61
Climate for Timestep 92	-2.27	331	29.4
Climate for Timestep 93	-3	775.4	31.47
