January Minimum Temperature	Precipitation	July Maximum Temperature
Climate for Timestep 1	-3.11	1099.2	24.02
Climate for Timestep 2	-3.89	1175.3	23.73
Climate for Timestep 3	-3.55	1049.4	22.04
Climate for Timestep 4	-4.21	976.1	22.47
Climate for Timestep 5	-3.21	1386.9	22.01
Climate for Timestep 6	-3.64	612.7	24.78
Climate for Timestep 7	-5.14	1519.6	23.35
Climate for Timestep 8	0.1	1596.4	22.17
Climate for Timestep 9	-2.3	1103.5	23.34
Climate for Timestep 10	-4.06	1281.5	24.59
Climate for Timestep 11	-3.47	1681.6	24.54
Climate for Timestep 12	-2.46	1121.5	24.37
Climate for Timestep 13	-2.89	1092.4	23.49
Climate for Timestep 14	-4.56	847.7	25.92
Climate for Timestep 15	-1.94	1031.7	25.16
Climate for Timestep 16	-2.58	522.5	23.85
Climate for Timestep 17	-3.84	2269.9	24.21
Climate for Timestep 18	-4.78	713.7	26.09
Climate for Timestep 19	-4.89	1474.6	23.91
Climate for Timestep 20	-7.52	1923.5	23.6
Climate for Timestep 21	-4.96	961.7	23.27
Climate for Timestep 22	-6.04	922.1	26.52
Climate for Timestep 23	-4.01	1102.7	25.46
Climate for Timestep 24	-4.89	1771.7	24.68
Climate for Timestep 25	-4.35	371.7	24.67
Climate for Timestep 26	-4.74	1427.5	24.31
Climate for Timestep 27	-2.26	1657.2	23.23
Climate for Timestep 28	-4.1	2316.1	23.95
Climate for Timestep 29	-3.82	823.4	23.7
Climate for Timestep 30	-4.25	1828.4	23.84
Climate for Timestep 31	-3	880.6	23.81
Climate for Timestep 32	-3.65	1286.8	25.07
Climate for Timestep 33	-3.07	1150.4	26.71
Climate for Timestep 34	-1.83	300.5	26.18
Climate for Timestep 35	-1.28	1428.2	24.54
Climate for Timestep 36	-5.37	1262.1	25.57
Climate for Timestep 37	-3.93	735.7	24.95
Climate for Timestep 38	-2.25	1637.7	24.03
Climate for Timestep 39	-5.26	1220.1	25.48
Climate for Timestep 40	-3.8	1052.7	24.26
Climate for Timestep 41	-10.07	799.3	25.37
Climate for Timestep 42	-2.87	1395.3	25.46
Climate for Timestep 43	-2.79	1617	25.68
Climate for Timestep 44	-1.36	1032.2	25.87
Climate for Timestep 45	-3.98	898.5	25.21
Climate for Timestep 46	-2.6	1006.7	24.88
Climate for Timestep 47	-4.91	1156.1	24.96
Climate for Timestep 48	-6.35	817	27.05
Climate for Timestep 49	-0.41	1645.8	25.15
Climate for Timestep 50	-4.49	897.1	25.13
Climate for Timestep 51	-7.27	1622.4	26.07
Climate for Timestep 52	-0.41	857.3	26.64
Climate for Timestep 53	-4.31	987.8	28.23
Climate for Timestep 54	-2.64	277.8	26.49
Climate for Timestep 55	-5.29	645.9	27.1
Climate for Timestep 56	-6.06	1517.4	25.99
Climate for Timestep 57	-4.9	1387.2	25.48
Climate for Timestep 58	-5.53	736.8	25.75
Climate for Timestep 59	-0.75	548.6	27.53
Climate for Timestep 60	-0.86	876.2	26.94
Climate for Timestep 61	-4.37	1260.1	27.22
Climate for Timestep 62	-1.73	1686.8	26.66
Climate for Timestep 63	-1.66	1312.9	28.24
Climate for Timestep 64	-1.22	1036.6	26.62
Climate for Timestep 65	-2.34	1231.4	26.57
Climate for Timestep 66	-1.78	1044.6	28.25
Climate for Timestep 67	-5.31	1111.3	27.42
Climate for Timestep 68	-3.87	1140.4	26.38
Climate for Timestep 69	-0.77	1189.1	27.94
Climate for Timestep 70	-3.55	486.6	27.9
Climate for Timestep 71	-2.22	535.3	26.29
Climate for Timestep 72	-0.56	1057.7	27.88
Climate for Timestep 73	-2.01	2378	26.95
Climate for Timestep 74	-1.96	1047.5	29.6
Climate for Timestep 75	-3.73	934.5	27.5
Climate for Timestep 76	-1.26	1326.2	27.08
Climate for Timestep 77	-2.46	1392.1	28.06
Climate for Timestep 78	-2.54	628.1	27.91
Climate for Timestep 79	-0.86	1226.8	26.96
Climate for Timestep 80	0.61	1013.5	27.61
Climate for Timestep 81	0.49	2063	27.36
Climate for Timestep 82	-0.52	1475.6	26.57
Climate for Timestep 83	-0.03	1960.5	27.12
Climate for Timestep 84	0.96	2480.2	28.29
Climate for Timestep 85	-0.94	959.5	29.61
Climate for Timestep 86	-3.94	958.8	27.61
Climate for Timestep 87	-1.86	686.8	28.55
Climate for Timestep 88	-1.29	665.3	29.14
Climate for Timestep 89	1.15	1801	27.91
Climate for Timestep 90	-1.32	1490.2	30.72
Climate for Timestep 91	-3.11	793.4	29.25
Climate for Timestep 92	0	1166.3	28.18
Climate for Timestep 93	0.81	1751.6	30.09
