January Minimum Temperature	Precipitation	July Maximum Temperature
Climate for Timestep 1	-2.32	1376.3	24.2
Climate for Timestep 2	-2.31	421.3	24.21
Climate for Timestep 3	-1.61	1538.4	24.78
Climate for Timestep 4	-2.59	823.2	24.89
Climate for Timestep 5	-3.09	1999.9	25.17
Climate for Timestep 6	-2.37	949	25.09
Climate for Timestep 7	-5.39	1706.1	24.86
Climate for Timestep 8	-1.36	1517.2	23.16
Climate for Timestep 9	-4.07	1630.4	23.05
Climate for Timestep 10	-1.66	1569.2	24.9
Climate for Timestep 11	-3.79	1717.4	23.68
Climate for Timestep 12	-1.8	1443.1	23.92
Climate for Timestep 13	-3.85	1795.6	23.13
Climate for Timestep 14	-4.31	1887.5	22.66
Climate for Timestep 15	-5.9	1054.6	23.5
Climate for Timestep 16	-3.49	1643.6	24.04
Climate for Timestep 17	-2.2	1774.6	22.69
Climate for Timestep 18	-1.43	1212	25.1
Climate for Timestep 19	-3.04	971.9	24.34
Climate for Timestep 20	-2.5	1540.3	24.52
Climate for Timestep 21	-5.33	1838.8	25.28
Climate for Timestep 22	-3.68	878.8	24.65
Climate for Timestep 23	-2.16	1425.7	24.36
Climate for Timestep 24	-4.3	906.5	22.37
Climate for Timestep 25	-2.22	1906.6	22.2
Climate for Timestep 26	-3.57	2583.2	24.82
Climate for Timestep 27	-0.71	1083.8	22.58
Climate for Timestep 28	-1.11	1298.8	22
Climate for Timestep 29	-0.89	1211.1	25.78
Climate for Timestep 30	-2.87	2280.6	24.22
Climate for Timestep 31	-3.84	1303.6	23.15
Climate for Timestep 32	-1.62	1145.1	25.29
Climate for Timestep 33	-2.45	1957.1	24.04
Climate for Timestep 34	-6.39	620.8	25.83
Climate for Timestep 35	-4.47	1098.6	25.43
Climate for Timestep 36	-2.54	1647.6	25.85
Climate for Timestep 37	-1.26	2070.6	25.77
Climate for Timestep 38	-1.28	1429.5	25.55
Climate for Timestep 39	-0.55	768.2	25.27
Climate for Timestep 40	-1.12	1521.1	24.32
Climate for Timestep 41	-0.98	1321.6	22.27
Climate for Timestep 42	-4.96	1193.4	25.4
Climate for Timestep 43	-4.74	1514	24.18
Climate for Timestep 44	-2.66	1443	23.37
Climate for Timestep 45	-0.27	2853	24.54
Climate for Timestep 46	-5.11	693.1	24.58
Climate for Timestep 47	-2.88	790.2	24.29
Climate for Timestep 48	-0.25	725.3	26.87
Climate for Timestep 49	-0.84	1435.9	25.19
Climate for Timestep 50	-0.44	1715.3	24.23
Climate for Timestep 51	1.22	1981	25.53
Climate for Timestep 52	-0.05	1443.9	25.13
Climate for Timestep 53	-2.04	1900.1	24.73
Climate for Timestep 54	1.18	1630.8	26.73
Climate for Timestep 55	-1.77	1614.7	25.9
Climate for Timestep 56	-0.21	601.3	27.52
Climate for Timestep 57	0.38	1793.8	26.39
Climate for Timestep 58	-2.25	900.8	24.46
Climate for Timestep 59	-3.33	1522.6	25.59
Climate for Timestep 60	-0.16	1155.6	27.47
Climate for Timestep 61	-0.29	1097.1	26.64
Climate for Timestep 62	-1.64	544.6	27.51
Climate for Timestep 63	-0.6	1904.7	28.19
Climate for Timestep 64	1.03	2059.7	24.51
Climate for Timestep 65	-1.02	396.5	27.82
Climate for Timestep 66	-0.31	1994.9	26.63
Climate for Timestep 67	-1.54	1240.4	26.7
Climate for Timestep 68	-0.23	2132.8	24.59
Climate for Timestep 69	1.25	1662.8	23.83
Climate for Timestep 70	2.12	994.7	29.12
Climate for Timestep 71	0	1691.8	25.88
Climate for Timestep 72	-1.65	972.7	24.05
Climate for Timestep 73	0.83	1621.5	24.39
Climate for Timestep 74	-1.07	2975.3	27.96
Climate for Timestep 75	1.38	1131.1	24.46
Climate for Timestep 76	0.8	1502.1	26.84
Climate for Timestep 77	1.27	730.3	26.03
Climate for Timestep 78	-2.75	1025.4	28.03
Climate for Timestep 79	1.17	803.7	27.84
Climate for Timestep 80	-0.74	1989.8	28.26
Climate for Timestep 81	1.15	2552.4	27.72
Climate for Timestep 82	-0.84	1336.6	26.64
Climate for Timestep 83	1.87	1740.8	26.05
Climate for Timestep 84	3.19	3081.3	28.91
Climate for Timestep 85	3.28	2328.4	28.42
Climate for Timestep 86	0.09	1464	28.54
Climate for Timestep 87	-0.81	1401	26.36
Climate for Timestep 88	3.86	1682.7	28.44
Climate for Timestep 89	1.97	2355.4	27.46
Climate for Timestep 90	1.21	628.2	26.78
Climate for Timestep 91	0.05	1429.6	27.93
Climate for Timestep 92	1.84	1251.9	27.61
Climate for Timestep 93	2.01	1544	28.16
