January Minimum Temperature	Precipitation	July Maximum Temperature
Climate for Timestep 1	-3.24	1972.4	22.98
Climate for Timestep 2	-3.57	1749.3	21.32
Climate for Timestep 3	-5	941.5	25.17
Climate for Timestep 4	-3.5	903.1	25.12
Climate for Timestep 5	-5.15	1059.1	21.38
Climate for Timestep 6	-3.91	1148.5	22.45
Climate for Timestep 7	-5.19	809.3	21.77
Climate for Timestep 8	-5.36	1241.1	22.05
Climate for Timestep 9	-7.53	1034.8	23.18
Climate for Timestep 10	-5.39	1175.1	23.07
Climate for Timestep 11	-3.23	1231.4	24.55
Climate for Timestep 12	-2.53	1184.7	26.04
Climate for Timestep 13	-3.08	1510.7	22.38
Climate for Timestep 14	-3.39	943.3	26.38
Climate for Timestep 15	-2.31	964.5	23.97
Climate for Timestep 16	-1.85	505.7	24.56
Climate for Timestep 17	-3.52	1007.9	23.5
Climate for Timestep 18	-3.27	1709.6	28.11
Climate for Timestep 19	-2.8	1279.6	24.65
Climate for Timestep 20	-7.56	1018.4	26
Climate for Timestep 21	-2.78	926.9	26.81
Climate for Timestep 22	-2.41	1713.7	25.27
Climate for Timestep 23	-3.61	1710.3	25.27
Climate for Timestep 24	-1.83	918.1	26.8
Climate for Timestep 25	-5.44	1131.8	26.4
Climate for Timestep 26	-5.08	1020.4	27.86
Climate for Timestep 27	-1.91	987.9	25.54
Climate for Timestep 28	-3.83	1301.6	25.7
Climate for Timestep 29	-4.3	973.3	25.33
Climate for Timestep 30	-3.55	1260.3	26.54
Climate for Timestep 31	-4.09	1210.9	27.72
Climate for Timestep 32	-5.99	1541.2	25.15
Climate for Timestep 33	-1.24	1103.4	25.73
Climate for Timestep 34	-1.81	508.1	26.92
Climate for Timestep 35	-2.2	1963.8	26.84
Climate for Timestep 36	-3.87	589.5	28.75
Climate for Timestep 37	-5.75	954.6	27.15
Climate for Timestep 38	-1.18	1232.6	25.99
Climate for Timestep 39	-3.51	1106.8	26.71
Climate for Timestep 40	-0.51	804.4	28.46
Climate for Timestep 41	-3.36	663.2	25.66
Climate for Timestep 42	-1.97	1141.6	25.41
Climate for Timestep 43	-1.11	1130.6	27.83
Climate for Timestep 44	-2.95	793	26.94
Climate for Timestep 45	-2.05	679.7	27.48
Climate for Timestep 46	-0.12	1116.2	28.15
Climate for Timestep 47	-1.22	936.1	28
Climate for Timestep 48	-2.67	500.8	26.92
Climate for Timestep 49	-1.52	792.3	28.88
Climate for Timestep 50	-4.53	1317.5	28.82
Climate for Timestep 51	-1.49	998.2	27.53
Climate for Timestep 52	-0.96	636.3	27.67
Climate for Timestep 53	0.56	1195.7	28.31
Climate for Timestep 54	-0.78	938.5	29.47
Climate for Timestep 55	-3.8	1025.5	30.28
Climate for Timestep 56	-0.21	1109.5	28.75
Climate for Timestep 57	-1.62	639	29.64
Climate for Timestep 58	-6.46	607.7	27.25
Climate for Timestep 59	-1.8	605.2	27.58
Climate for Timestep 60	-3.77	814.6	28.57
Climate for Timestep 61	0.18	622.1	28.15
Climate for Timestep 62	-1.6	974.5	28.29
Climate for Timestep 63	-1.08	1253.8	27.7
Climate for Timestep 64	-3.74	602.7	29.21
Climate for Timestep 65	1.19	1235	30.77
Climate for Timestep 66	-0.35	1041.4	29.9
Climate for Timestep 67	-0.86	1028.1	28.34
Climate for Timestep 68	-1.16	999.7	28.86
Climate for Timestep 69	0.33	901.1	31.63
Climate for Timestep 70	-0.82	702.2	29.23
Climate for Timestep 71	-3.4	857.8	30.15
Climate for Timestep 72	1.08	1132	29.32
Climate for Timestep 73	-2.35	973.8	29.2
Climate for Timestep 74	1.09	699.1	31.46
Climate for Timestep 75	0.16	660.7	31
Climate for Timestep 76	-0.57	603.4	29.54
Climate for Timestep 77	-0.04	1191	28.52
Climate for Timestep 78	0.43	733	29.17
Climate for Timestep 79	-1.76	1195	30.81
Climate for Timestep 80	-0.7	629.2	30.36
Climate for Timestep 81	-2.31	691.3	29.47
Climate for Timestep 82	-1.39	590.3	29.95
Climate for Timestep 83	-1.68	737.8	29.94
Climate for Timestep 84	-0.65	965	29.6
Climate for Timestep 85	1.41	718.6	30.39
Climate for Timestep 86	-0.03	466.3	30.03
Climate for Timestep 87	-3.22	1536.5	32.13
Climate for Timestep 88	2.51	848.1	31.27
Climate for Timestep 89	-1.74	721	29.47
Climate for Timestep 90	-0.22	1305.7	32.96
Climate for Timestep 91	1.79	1337.6	32.79
Climate for Timestep 92	0.74	230.2	30.23
Climate for Timestep 93	-0.1	568.2	31.84
