"","PLOT_NAME","SUBPLOT","QUADRAT","SPPCODE","SIZE_CLASS","COUNT1999","COUNT2000","COUNT2001","COUNT2002","COUNT2003","COUNT2004","COUNT2005","COUNT2006","COUNT2007","COUNT2008","COUNT2009","DATA_YEAR"
"1","LOLOG",5,1,"ABCO",1,0,0,0,0,0,0,1,0,0,0,0,2005
"2","BBBPIPO",6,1,"ABCO",1,0,0,0,0,0,0,0,0,0,0,5,2009
"3","FFS5BURN",6,1,"ABCO",1,0,0,0,218,1,4,0,7,0,0,0,2002
"4","FFS7CONTRO",6,1,"ABCO",1,0,0,0,73,0,1,0,18,0,0,36,2002
"5","UPTHAR",6,1,"ABCO",1,0,0,0,2,0,1,1,40,0,0,0,2002
"6","CRCRPIPO",7,1,"ABCO",1,0,0,0,0,2,0,0,0,6,0,5,2003
"7","FFS2BURN",7,1,"ABCO",1,0,0,0,0,0,8,0,0,0,0,0,2004
"8","FFS6BURN",7,1,"ABCO",1,0,0,0,378,11,0,0,0,0,0,0,2002
"9","CCRPIPO",8,1,"ABCO",1,0,0,0,7,0,0,1,0,6,0,0,2002
"10","LOTHAR",8,1,"ABCO",1,0,0,0,0,0,2,0,20,0,0,0,2004
"11","SUABCO",8,1,"ABCO",1,0,0,0,0,0,0,2,0,0,0,0,2005
"12","FFS6BURN",10,1,"ABCO",1,0,0,0,53,1,0,0,1,0,0,5,2002
"13","YOHOPIPO",10,1,"ABCO",1,0,0,0,0,1,0,0,0,0,0,0,2003
"14","BBBPIPO",11,1,"ABCO",1,0,0,0,8,0,0,0,6,0,0,0,2002
"15","CCRPIPO",11,1,"ABCO",1,0,0,0,0,0,0,1,1,2,0,15,2005
"16","FFS5BURN",11,1,"ABCO",1,0,0,0,217,1,15,0,2,2,0,0,2002
"17","FFS7CONTRO",11,1,"ABCO",1,0,0,0,4,2,1,0,19,0,1,7,2002
"18","LMCC",11,1,"ABCO",1,0,0,0,0,0,27,0,0,0,0,0,2004
"19","LOTHAR",11,1,"ABCO",1,0,0,0,2,0,2,0,28,0,0,0,2002
"20","UPTHAR",11,1,"ABCO",1,0,0,0,4,0,0,0,1,1,0,0,2002
"21","LOGPIJE",12,1,"ABCO",1,0,0,0,0,0,0,0,1,0,0,0,2006
"22","SURIP",12,1,"ABCO",1,0,0,0,0,0,0,1,0,0,0,0,2005
"23","LMCC",15,1,"ABCO",1,0,0,0,0,0,94,0,0,0,0,0,2004
"24","LMCC",20,1,"ABCO",1,0,0,0,0,0,14,0,0,0,0,0,2004
"25","BBBPIPO",6,2,"ABCO",1,0,0,0,12,0,0,0,0,9,0,7,2002
"26","FFS5BURN",6,2,"ABCO",1,0,0,0,295,0,0,2,0,0,0,0,2002
"27","FFS7CONTRO",6,2,"ABCO",1,0,0,0,14,0,1,0,10,0,0,37,2002
"28","UPTHAR",6,2,"ABCO",1,0,0,0,1,0,0,0,20,4,0,0,2002
"29","CRCRPIPO",7,2,"ABCO",1,0,0,0,0,0,0,0,0,7,0,1,2007
"30","FFS2BURN",7,2,"ABCO",1,0,0,0,0,0,4,0,0,0,0,0,2004
"31","FFS6BURN",7,2,"ABCO",1,0,0,0,832,0,2,0,0,0,0,1,2002
"32","SUABCO",7,2,"ABCO",1,0,0,0,0,0,0,1,0,0,0,0,2005
"33","CCRPIPO",8,2,"ABCO",1,0,0,0,4,0,0,0,0,1,0,1,2002
"34","LOTHAR",8,2,"ABCO",1,0,0,0,0,0,2,0,27,0,0,0,2004
"35","SUABCO",8,2,"ABCO",1,0,0,0,0,0,0,1,0,0,0,0,2005
"36","CRCRPIPO",10,2,"ABCO",1,0,0,0,0,0,0,0,0,8,4,2,2007
"37","FFS6BURN",10,2,"ABCO",1,0,0,0,217,3,0,0,0,0,0,1,2002
"38","YOHOPIPO",10,2,"ABCO",1,0,0,0,0,1,0,0,0,0,0,0,2003
