Site	Tag#	Species	x	y	Cored?	Year_1st_rec	Mort_Yr	Trunk	F_15_DBH	Sp_16_DBH	Su_16_DBH	Su_17_DBH	Su_18_DBH	Su_19_DBH																					
SJ	1.00	ABMA	16.00	6.00	N	2015.00	NA	1.00	75.00	NA	75.30	76.20	75.80	76.30																					
SJ	2.00	ABCO	15.50	7.00	N	2015.00	NA	1.00	7.80	NA	7.30	7.70	7.80	7.50																					
SJ	3.00	ABCO	16.00	8.00	N	2015.00	NA	1.00	16.30	NA	16.80	17.00	17.80	18.10																					
SJ	4.00	ABCO	14.00	17.00	N	2015.00	NA	1.00	17.00	NA	17.50	17.50	18.60	19.10																					
SJ	5.00	ABCO	19.00	14.00	N	2015.00	NA	1.00	48.60	NA	49.40	49.70	51.00	51.80																					
SJ	6.00	ABCO	17.50	19.50	N	2015.00	NA	1.00	9.20	NA	9.60	9.70	10.20	10.80																					
SJ	7.00	ABCO	18.00	21.00	N	2015.00	NA	1.00	5.30	NA	5.20	5.50	5.30	5.60																					
SJ	8.00	ABCO	20.00	19.00	N	2015.00	NA	1.00	25.90	NA	26.80	27.00	28.00	28.70																					
SJ	9.00	ABMA	23.00	22.00	N	2015.00	2018.00	1.00	127.80	NA	128.50	128.30	127.40	NA																					
SJ	10.00	ABCO	26.00	25.00	N	2015.00	NA	1.00	6.80	NA	7.00	7.20	7.00	7.40																					
SJ	11.00	ABCO	19.00	10.00	N	2015.00	NA	1.00	6.70	NA	6.50	7.40	6.90	7.90																					
SJ	12.00	ABCO	19.00	9.00	N	2015.00	NA	1.00	8.70	NA	8.60	8.80	9.10	10.50																					
SJ	13.00	ABCO	21.00	6.00	N	2015.00	NA	1.00	6.20	NA	6.30	6.20	6.60	7.30																					
SJ	14.00	ABCO	21.00	3.00	N	2015.00	NA	1.00	26.50	NA	27.00	27.70	28.00	28.90																					
SJ	15.00	ABCO	26.50	5.00	N	2015.00	NA	1.00	15.00	NA	15.30	15.20	16.10	17.30																					
SJ	16.00	ABCO	26.00	8.00	N	2015.00	NA	1.00	3.40	NA	3.50	3.90	4.00	4.50																					
SJ	17.00	ABCO	28.50	2.00	N	2015.00	2017.00	1.00	71.50	NA	72.20	73.20	NA	NA																					
SJ	18.00	ABCO	34.00	4.00	N	2015.00	NA	1.00	10.20	NA	10.60	10.90	11.90	12.50																					
SJ	19.00	PILA	36.00	1.50	N	2015.00	2018.00	1.00	1.20	NA	1.30	1.60	1.00	NA																					
SJ	20.00	ABCO	38.00	2.00	N	2015.00	NA	1.00	1.60	NA	1.70	1.70	1.60	1.60																					
SJ	21.00	ABCO	40.00	8.00	N	2015.00	NA	1.00	15.00	NA	15.00	15.30	15.70	16.40																					
SJ	22.00	ABCO	40.00	9.00	N	2015.00	NA	1.00	22.40	NA	22.50	22.80	23.40	24.10																					
SJ	23.00	ABCO	34.00	17.00	N	2015.00	NA	1.00	8.00	NA	8.40	9.10	9.40	9.70																					
SJ	24.00	ABCO	34.00	19.00	N	2015.00	NA	1.00	7.80	NA	8.40	8.10	9.00	9.80																					
SJ	25.00	ABMA	35.00	21.00	N	2015.00	2018.00	1.00	5.40	NA	5.50	5.40	3.20	NA																					
SJ	26.00	ABCO	34.00	21.50	N	2015.00	2017.00	1.00	13.00	NA	12.90	13.10	NA	NA																					
SJ	27.00	ABCO	34.50	21.50	N	2015.00	2018.00	1.00	3.90	NA	4.00	4.10	3.70	NA																					
SJ	28.00	ABCO	34.50	22.00	N	2015.00	2018.00	1.00	3.20	NA	3.30	3.50	3.20	NA																					
SJ	29.00	ABCO	35.00	21.50	N	2015.00	NA	1.00	23.10	NA	24.70	24.10	25.20	26.40																					
SJ	30.00	ABCO	35.00	22.00	N	2015.00	2018.00	1.00	2.60	NA	3.00	2.60	2.60	NA																					
SJ	31.00	ABMA	36.50	21.00	N	2015.00	NA	1.00	6.40	NA	6.30	6.40	6.50	6.50																					
SJ	32.00	ABMA	35.00	21.00	N	2015.00	NA	1.00	11.80	NA	12.10	12.40	12.90	13.30																					
