PLOT_NAME	SUBPLOT	QUADRAT	SEEDLING_TAGNUM	SPPCODE	MORT_YR	ESTAB_YR	SIZE1999	SIZE2000	SIZE2001	SIZE2002	SIZE2003	SIZE2004	SIZE2005	SIZE2006	SIZE2007	SIZE2008
BBBPIPO	11	8	20627	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	10
BBBPIPO	11	13	20623	ABCO	2008	2006	-33	-33	-33	-33	-33	-33	-33	25	-99	-66
BBBPIPO	11	13	20626	ABCO	2008	2006	-33	-33	-33	-33	-33	-33	-33	25	25	-66
BBBPIPO	11	14	20631	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	11	14	20634	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	11	14	20636	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	11	14	20638	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	11	14	20640	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	11	15	20642	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	11	15	20643	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	11	17	20612	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	-99
BBBPIPO	11	21	20645	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	-99
BBBPIPO	11	22	20558	ABCO	2007	2006	-33	-33	-33	-33	-33	-33	-33	25	-88	-88
BBBPIPO	11	25	20657	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	-99
BBBPIPO	6	1	20665	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	6	1	20667	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	6	2	20681	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	6	8	20672	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	6	11	20663	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	6	13	20677	ABCO	2007	2006	-33	-33	-33	-33	-33	-33	-33	25	-88	-88
BBBPIPO	6	16	20688	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	6	16	20689	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	6	16	20690	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
BBBPIPO	6	16	20691	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	-99	25
BBBPIPO	6	16	20695	ABCO	-99	2006	-33	-33	-33	-33	-33	-33	-33	25	25	25
