plot	yr1	yr2	yr3	yr4	yr5	yr6	yr7
BBBPIPO	1992	1997	2002	2007	2012	NA	NA
CCRPIPO	1991	1996	2001	2005	2010	NA	NA
CRCRPIPO	1993	1998	2003	2008	2013	NA	NA
EMRIDGE	1985	1989	1994	1999	2003	2008	2013
EMSALIX	1983	1988	1993	1998	2003	2008	2013
EMSLOPE	1983	1988	1993	1998	2003	2008	2013
FFS2BURN	2001	2006	2011	NA	NA	NA	NA
FFS5BURN	2001	2006	2011	NA	NA	NA	NA
FFS6BURN	2001	2006	2011	NA	NA	NA	NA
FFS7CONTROL	2001	2006	2011	NA	NA	NA	NA
FRPIJE	1983	1988	1994	1999	2004	2009	2014
LMCC	1982	1988	1994	1999	2003	2008	2013
LOGPIJE	1985	1990	1995	2000	2005	2010	NA
LOGSEGI	1983	1988	1994	1999	2004	2009	2014
LOLOG	1985	1992	1997	2002	2007	2012	NA
LOTHAR	1984	1989	1994	1999	2003	2008	2013
PGABMA	1992	1997	2002	2007	2012	NA	NA
POFLABMA	1994	1999	2004	2009	2014	NA	NA
SFTRABMA	1992	1997	2002	2007	2012	NA	NA
SUABCO	1983	1988	1994	1999	2004	2009	NA
SUPILA	1982	1988	1994	1999	2004	2009	NA
SURIP	1982	1988	1994	1999	2004	2009	NA
UPLOG	1985	1992	1997	2002	2007	2012	NA
UPTHAR	1984	1989	1994	1999	2003	2008	2013
WTABMA	1993	1998	2003	2008	2013	NA	NA
YOHOPIPO	1991	1997	2001	2006	2011	NA	NA
