X	Y	Species	Type	Diam	Height	ParamG1
1.484	3.904	CADE	Adult	17.8	0	0
1.704	4.236	ABCO	Adult	4.5	0	0
7.295	0.738	CADE	Adult	23.1	0	0
2.34	6.527	CADE	Adult	7.8	0	0
6.734	4.241	CADE	Adult	42.6	0	0
9.258	1.815	ABCO	Adult	3.5	0	0
5.677	6.783	QUKE	Adult	37.3	0	0
10.805	2.121	CADE	Adult	9.1	0	0
5.611	7.64	QUKE	Adult	35.2	0	0
6.802	6.619	ABCO	Adult	8.5	0	0
2.202	11.233	CADE	Adult	52.5	0	0
6.544	7.613	QUKE	Adult	28.6	0	0
7.975	6.719	CADE	Adult	5.2	0	0
7.127	8.104	ABCO	Adult	2.8	0	0
9.034	6.833	QUKE	Adult	35.3	0	0
14.83	1.32	ABCO	Adult	10.2	0	0
1.866	14.44	CADE	Adult	45.3	0	0
9.537	7.363	QUKE	Adult	30.2	0	0
11.75	6.069	CADE	Adult	19.1	0	0
4.576	13.964	ABCO	Adult	3.2	0	0
9.079	9.532	CADE	Adult	1	0	0
14.748	4.627	CADE	Adult	7.5	0	0
11.863	8.12	CADE	Adult	9.9	0	0
13.109	6.888	QUKE	Adult	31.3	0	0
9.153	11.311	CADE	Adult	10.4	0	0
10.887	9.591	CADE	Adult	8	0	0
17.05	3.441	CADE	Adult	16.5	0	0
1.606	19.325	QUKE	Adult	18.5	0	0
20.189	0.84	QUKE	Adult	30.7	0	0
15.627	5.812	QUKE	Adult	24.8	0	0
3.342	18.154	CADE	Adult	13.2	0	0
1.738	19.829	QUKE	Adult	23.5	0	0
20.78	0.8	QUKE	Adult	32.5	0	0
10.02	11.915	QUKE	Adult	21.4	0	0
12.992	9.169	CADE	Adult	30.5	0	0
6.491	15.755	CADE	Adult	50.2	0	0
8.016	14.612	CADE	Adult	32.7	0	0
20.812	1.844	ABCO	Adult	28.3	0	0
9.587	13.111	PILA	Adult	1.3	0	0
8.378	14.334	CADE	Adult	13.3	0	0
1.729	21.097	QUKE	Adult	18.8	0	0
13.708	9.344	ABCO	Adult	5.6	0	0
2.239	20.827	CADE	Adult	8.9	0	0
1.66	21.42	QUKE	Adult	21.7	0	0
12.024	11.89	CADE	Adult	6.3	0	0
10.861	13.237	ABCO	Adult	1.5	0	0
1.822	22.375	CADE	Adult	15.3	0	0
15.048	9.503	CADE	Adult	25	0	0
14.122	10.698	QUKE	Adult	34.8	0	0
2.589	22.273	CADE	Adult	20.7	0	0
