X	Y	Species	Type	Diam	Height	ParamG1
55.269	0.48	ABMA	Adult	1.6	0	0
64.75	0.49	ABMA	Adult	4.9	0	0
72.003	0.56	ABMA	Adult	0.8	0	0
5.112	0.59	ABMA	Adult	5.8	0	0
68.459	0.63	ABMA	Adult	1	0	0
64.682	0.64	ABMA	Adult	5.2	0	0
68.968	0.64	ABMA	Adult	7.7	0	0
23.062	0.66	ABMA	Adult	4.1	0	0
22.931	0.67	ABMA	Adult	2.2	0	0
54.461	0.8	ABMA	Adult	1.2	0	0
64.516	0.87	ABMA	Adult	4.6	0	0
89.717	0.9	ABMA	Adult	56	0	0
67.848	1.04	ABMA	Adult	2.4	0	0
64.936	1.04	ABMA	Adult	1	0	0
64.395	1.05	ABMA	Adult	3.6	0	0
55.385	1.17	ABMA	Adult	2.5	0	0
74.383	1.3	ABMA	Adult	2.6	0	0
72.854	1.32	ABMA	Adult	3.3	0	0
71.952	1.35	ABMA	Adult	1.2	0	0
3.334	1.38	ABMA	Adult	95	0	0
71.814	1.42	ABMA	Adult	3.1	0	0
55.271	1.45	ABMA	Adult	4.7	0	0
70.438	1.45	ABMA	Adult	5.2	0	0
33.014	1.49	ABMA	Adult	2	0	0
57.312	1.61	ABMA	Adult	28.7	0	0
69.334	1.71	ABMA	Adult	1.5	0	0
70.503	1.84	ABMA	Adult	0.9	0	0
71.133	1.93	ABMA	Adult	3.6	0	0
70.431	2	ABMA	Adult	6.6	0	0
68.45	2.06	ABMA	Adult	4.2	0	0
23.424	2.07	ABMA	Adult	17.7	0	0
69.773	2.11	ABMA	Adult	3.2	0	0
13.973	2.17	ABMA	Adult	0.7	0	0
7.965	2.24	ABMA	Adult	26.8	0	0
30.528	2.29	ABMA	Adult	28.9	0	0
14.157	2.49	PICO	Adult	4.2	0	0
41.121	2.52	PICO	Adult	12.8	0	0
69.511	2.64	ABMA	Adult	2.9	0	0
33.873	2.67	ABMA	Adult	0.6	0	0
86.176	2.72	ABMA	Adult	27.5	0	0
91.229	2.72	PICO	Adult	41.1	0	0
75.899	2.79	ABMA	Adult	5.3	0	0
72.008	2.95	ABMA	Adult	4.5	0	0
69.035	2.98	ABMA	Adult	3.6	0	0
51.981	3.07	ABMA	Adult	10.2	0	0
70.974	3.16	ABMA	Adult	5.7	0	0
72.537	3.2	ABMA	Adult	2.9	0	0
32.144	3.29	ABMA	Adult	44.5	0	0
30.728	3.37	ABMA	Adult	1.3	0	0
57.396	3.45	ABMA	Adult	12.2	0	0
71.756	3.49	ABMA	Adult	3.3	0	0
85.662	3.5	ABMA	Adult	63.9	0	0
20.372	3.53	ABMA	Adult	5.7	0	0
10.884	3.66	ABMA	Adult	50.9	0	0
97.108	4	ABMA	Adult	0.9	0	0
53.106	4.07	ABMA	Adult	31	0	0
61.047	4.25	ABMA	Adult	51	0	0
74.14	4.27	ABMA	Adult	11.8	0	0
23.419	4.3	ABMA	Adult	36.5	0	0
60.252	4.3	ABMA	Adult	0.8	0	0
75.414	4.36	ABMA	Adult	3.5	0	0
37.473	4.38	ABMA	Adult	6.6	0	0
76.34	4.38	ABMA	Adult	5	0	0
72.54	4.48	ABMA	Adult	9.5	0	0
37.839	4.52	ABMA	Adult	3.6	0	0
52.098	4.66	ABMA	Adult	8.9	0	0
37.538	4.78	ABMA	Adult	9.3	0	0
31.328	4.81	ABMA	Adult	19.5	0	0
73.407	4.86	ABMA	Adult	2	0	0
73.797	4.88	ABMA	Adult	0.7	0	0
36.969	4.93	ABMA	Adult	6.4	0	0
50.876	5.04	ABMA	Adult	17.7	0	0
45.554	5.06	ABMA	Adult	28.2	0	0
19.199	5.23	ABMA	Adult	18.2	0	0
4.821	5.38	ABMA	Adult	130.4	0	0
30.278	5.54	PICO	Adult	47.4	0	0
54.765	5.66	ABMA	Adult	59.3	0	0
49.812	5.76	ABMA	Adult	17.2	0	0
45.531	5.86	ABMA	Adult	40.7	0	0
91.213	6	ABMA	Adult	5	0	0
52.378	6.08	ABMA	Adult	55.8	0	0
45.794	6.31	ABMA	Adult	37.5	0	0
42.106	6.38	ABMA	Adult	43.9	0	0
88.476	6.46	ABMA	Adult	106.2	0	0
24.385	6.93	ABMA	Adult	35.9	0	0
3.376	7.01	ABMA	Adult	8.8	0	0
38.161	7.35	ABMA	Adult	7.7	0	0
59.888	7.57	ABMA	Adult	25.2	0	0
38.919	7.59	ABMA	Adult	24.5	0	0
79.76	7.82	ABMA	Adult	13.2	0	0
96.284	7.96	ABMA	Adult	33.9	0	0
93.226	8.1	ABMA	Adult	28.1	0	0
27.681	8.44	ABMA	Adult	67	0	0
65.443	8.82	ABMA	Adult	46.2	0	0
86.418	8.83	ABMA	Adult	35.6	0	0
85.954	8.99	ABMA	Adult	4.4	0	0
20.822	9.35	PICO	Adult	46	0	0
15.174	9.39	ABMA	Adult	66	0	0
29.489	9.41	ABMA	Adult	22	0	0
95.267	9.54	ABMA	Adult	19.7	0	0
28.836	9.55	ABMA	Adult	66.6	0	0
66.234	9.55	ABMA	Adult	71	0	0
98.279	9.63	ABMA	Adult	23.7	0	0
64.971	9.72	ABMA	Adult	15.4	0	0
54.632	9.78	ABMA	Adult	9.3	0	0
21.088	9.87	ABMA	Adult	36.4	0	0
49.46	10.08	ABMA	Adult	35.5	0	0
64.449	10.09	ABMA	Adult	25.2	0	0
63.922	10.49	ABMA	Adult	74.8	0	0
98.447	10.49	ABMA	Adult	29.5	0	0
76.438	10.54	ABMA	Adult	74.2	0	0
97.936	10.55	ABMA	Adult	73.1	0	0
63.471	10.66	ABMA	Adult	7.7	0	0
53.698	10.82	ABMA	Adult	78.5	0	0
73.764	10.89	ABMA	Adult	114.3	0	0
59.895	11.01	ABMA	Adult	12.5	0	0
55.278	11.23	ABMA	Adult	55.6	0	0
8.864	11.32	PICO	Adult	2.6	0	0
51.403	12.25	ABMA	Adult	30.4	0	0
99.189	12.79	ABMA	Adult	42.2	0	0
14.187	12.87	ABMA	Adult	139.7	0	0
33.252	13.29	ABMA	Adult	167.3	0	0
65.916	13.49	ABMA	Adult	101.6	0	0
78.587	13.71	ABMA	Adult	156.3	0	0
2.24	13.85	PICO	Adult	35.4	0	0
22.997	13.98	ABMA	Adult	29.1	0	0
13.457	15.22	ABMA	Adult	23.6	0	0
50.757	15.46	ABMA	Adult	72.5	0	0
16.215	15.55	ABMA	Adult	3	0	0
5.73	16.1	ABMA	Adult	105.5	0	0
51.487	16.22	ABMA	Adult	6.8	0	0
2.096	16.28	ABMA	Adult	18.3	0	0
36.959	16.38	ABMA	Adult	103	0	0
56.272	16.86	ABMA	Adult	35.1	0	0
94.654	17.1	ABMA	Adult	150.6	0	0
17.01	17.26	ABMA	Adult	24.9	0	0
44.579	17.96	ABMA	Adult	30.3	0	0
42.351	18.39	ABMA	Adult	24.7	0	0
2.973	18.99	ABMA	Adult	122.7	0	0
97.071	19.35	ABMA	Adult	16.1	0	0
42.689	19.61	ABMA	Adult	46.9	0	0
12.321	19.62	ABMA	Adult	6.4	0	0
28.167	19.93	ABMA	Adult	57	0	0
11.337	19.98	ABMA	Adult	6.2	0	0
43.454	20.16	ABMA	Adult	14.4	0	0
13.907	20.22	ABMA	Adult	4.4	0	0
12.811	20.36	ABMA	Adult	7.2	0	0
96.315	20.5	ABMA	Adult	64.6	0	0
75.897	20.51	ABMA	Adult	130.3	0	0
69.143	20.62	ABMA	Adult	79.8	0	0
92.304	20.63	ABMA	Adult	25.2	0	0
42.846	20.89	ABMA	Adult	28.9	0	0
11.297	21.14	ABMA	Adult	4.7	0	0
99.271	21.51	ABMA	Adult	29	0	0
11.495	21.57	ABMA	Adult	20.8	0	0
22.164	21.85	ABMA	Adult	4.8	0	0
53.978	22.4	ABMA	Adult	22.9	0	0
37.272	22.61	ABMA	Adult	1.7	0	0
67.93	22.85	ABMA	Adult	45.8	0	0
57.599	23.28	ABMA	Adult	109.5	0	0
11.766	23.35	ABMA	Adult	3.4	0	0
44.43	23.44	ABMA	Adult	35.1	0	0
2.117	23.84	ABMA	Adult	111.2	0	0
28.085	23.93	ABMA	Adult	122.2	0	0
43.002	23.94	ABMA	Adult	18	0	0
16.632	24.25	ABMA	Adult	3.7	0	0
90.8	24.69	ABMA	Adult	65.3	0	0
66.245	24.75	ABMA	Adult	34.6	0	0
51.009	24.95	ABMA	Adult	21.8	0	0
41.152	25.7	ABMA	Adult	47.5	0	0
65.373	25.79	ABMA	Adult	17	0	0
99.42	26.11	ABMA	Adult	43.9	0	0
10.823	26.31	ABMA	Adult	103.4	0	0
50.561	26.62	ABMA	Adult	87	0	0
