X	Y	Species	Type	Diam	Height	ParamG1
3	12	ABCO	Adult	18.1	0	0
5	15	ABCO	Adult	40.4	0	0
15	8	ABMA	Adult	38.4	0	0
16	17	ABMA	Adult	81	0	0
21	17	ABMA	Adult	4	0	0
21	16.5	ABMA	Adult	3	0	0
37	26	ABMA	Adult	41.6	0	0
36	30	ABMA	Adult	71.5	0	0
35	30	ABCO	Adult	2.5	0	0
63	11	ABCO	Adult	12.9	0	0
23	17	ABMA	Adult	5.4	0	0
6	9	ABCO	Adult	5.3	0	0
33	40	ABCO	Adult	57.5	0	0
31	38	ABMA	Adult	58.4	0	0
30	38	ABMA	Adult	78.8	0	0
29.5	34	ABMA	Adult	15.2	0	0
25	26	ABCO	Adult	7.8	0	0
52	57	ABMA	Adult	62.2	0	0
27	25	ABMA	Adult	4.7	0	0
34	14	ABMA	Adult	9.8	0	0
36	18	ABCO	Adult	43.5	0	0
50	26	ABCO	Adult	39.6	0	0
55	44	PIMO	Adult	10.5	0	0
68	79	ABMA	Adult	112.2	0	0
26	30	ABMA	Adult	83.1	0	0
15.5	13	ABCO	Adult	12.2	0	0
15	14	ABMA	Adult	10.8	0	0
15	12	ABCO	Adult	1.7	0	0
34	16	ABMA	Adult	98.4	0	0
24	14	ABMA	Adult	6.6	0	0
28	17.5	ABMA	Adult	29.7	0	0
29	11	ABMA	Adult	57.6	0	0
28	9.5	ABMA	Adult	50.8	0	0
21	17	ABCO	Adult	2.4	0	0
19	18	ABMA	Adult	13.8	0	0
18	19.5	ABMA	Adult	2.6	0	0
19	20	ABMA	Adult	1.3	0	0
78.5	84.5	ABCO	Adult	4.8	0	0
20	15	ABMA	Adult	6.9	0	0
20.5	6.5	ABCO	Adult	3.9	0	0
35	7	ABCO	Adult	18.3	0	0
13	3	ABMA	Adult	3.7	0	0
14	4	ABCO	Adult	97.8	0	0
14.5	2	ABMA	Adult	2.2	0	0
14	2	ABMA	Adult	3.5	0	0
21	6	ABMA	Adult	4.1	0	0
20	10	ABCO	Adult	2.9	0	0
18	13.5	ABMA	Adult	13.7	0	0
12.5	4	ABMA	Adult	2.3	0	0
12.5	4.5	ABMA	Adult	2.8	0	0
14	4	ABMA	Adult	3.9	0	0
11	5	ABMA	Adult	2	0	0
10	4	ABCO	Adult	21.7	0	0
17	14	ABMA	Adult	10.7	0	0
2	5	ABCO	Adult	71.9	0	0
30.5	1.5	ABMA	Adult	5.7	0	0
13.5	4	ABMA	Adult	2.9	0	0
11.5	4.5	ABMA	Adult	2	0	0
35	0.5	ABMA	Adult	3.1	0	0
30.5	3	ABMA	Adult	8.8	0	0
17	4.5	ABMA	Adult	4.8	0	0
40	4	ABMA	Adult	141.5	0	0
20	15	ABMA	Adult	11.4	0	0
14.5	1.5	ABCO	Adult	1.9	0	0
13.5	3.5	ABMA	Adult	2.4	0	0
5	52	ABMA	Adult	24.1	0	0
30	1	ABMA	Adult	2.7	0	0
34	4	ABMA	Adult	22	0	0
27	4.5	ABMA	Adult	75.8	0	0
3	25	ABCO	Adult	6.9	0	0
15	20	ABMA	Adult	52.6	0	0
1	34.5	ABCO	Adult	5.5	0	0
4	27.5	ABCO	Adult	65.1	0	0
5	33	ABCO	Adult	14.3	0	0
78	46	ABMA	Adult	33.2	0	0
55	13	ABMA	Adult	109	0	0
8.5	23	ABCO	Adult	9.8	0	0
14	25	ABCO	Adult	23.8	0	0
46	35	ABMA	Adult	48	0	0
79	40	ABCO	Adult	31.8	0	0
52	17	ABMA	Adult	96.6	0	0
14	40	ABMA	Adult	103.8	0	0
51	18	ABMA	Adult	28.8	0	0
52	91.5	ABCO	Adult	20.9	0	0
60	56	ABCO	Adult	2.2	0	0
7	38	ABCO	Adult	25.4	0	0
67	75	ABCO	Adult	81.2	0	0
7	31	ABCO	Adult	18.8	0	0
14	32	ABMA	Adult	17.7	0	0
6	37	ABCO	Adult	9.1	0	0
8	35	ABMA	Adult	10.8	0	0
3	20	ABMA	Adult	57.3	0	0
6	31	ABMA	Adult	22.4	0	0
64	11	ABMA	Adult	122	0	0
2	25	ABCO	Adult	42.7	0	0
80	30	PICO	Adult	3.2	0	0
80	30.5	PICO	Adult	16.9	0	0
80	34	PICO	Adult	1.3	0	0
79.5	34	PICO	Adult	2.6	0	0
80	34.5	PICO	Adult	12.3	0	0
44	1	ABMA	Adult	4.4	0	0
43.5	1.5	ABMA	Adult	4.5	0	0
61	18	PIMO	Adult	2.6	0	0
63	18	ABMA	Adult	5.4	0	0
44	17	ABMA	Adult	13.6	0	0
44	16	ABMA	Adult	30.9	0	0
46.5	2	ABMA	Adult	6.5	0	0
47	2	ABMA	Adult	5.7	0	0
44	19	PICO	Adult	42	0	0
42	18	ABMA	Adult	22.1	0	0
42	11	ABMA	Adult	2.4	0	0
52	6	ABMA	Adult	51.3	0	0
46	9	ABMA	Adult	8.5	0	0
64	10	ABMA	Adult	1	0	0
46	11	ABMA	Adult	3.5	0	0
45	45	ABMA	Adult	52	0	0
44	40	ABMA	Adult	57.7	0	0
42	38	ABCO	Adult	28.4	0	0
44	8	ABMA	Adult	13.3	0	0
40	23	ABMA	Adult	19.2	0	0
40	28	ABMA	Adult	9.5	0	0
39	36	ABMA	Adult	11.4	0	0
40	35	ABMA	Adult	18.4	0	0
45	33	ABMA	Adult	73.8	0	0
75	29	ABMA	Adult	92.5	0	0
75	29	ABMA	Adult	52.2	0	0
74	33	ABMA	Adult	127	0	0
74	34	ABMA	Adult	29.8	0	0
53	30	ABMA	Adult	60.8	0	0
80	39	ABMA	Adult	68.9	0	0
52	27	ABCO	Adult	5	0	0
66	75	ABMA	Adult	67.9	0	0
57	17	ABMA	Adult	99.5	0	0
63	88	ABMA	Adult	12.6	0	0
68	86	ABMA	Adult	10	0	0
50	30	ABMA	Adult	25.6	0	0
75	75	ABMA	Adult	34.5	0	0
45.5	83	ABMA	Adult	26.3	0	0
79	75	ABMA	Adult	21.5	0	0
78	84	ABMA	Adult	32.6	0	0
69	79	ABMA	Adult	37.1	0	0
60	77	ABCO	Adult	99.6	0	0
79	85	PICO	Adult	65.5	0	0
74	84	ABMA	Adult	39	0	0
73	84	ABMA	Adult	89.5	0	0
60	90.5	PIMO	Adult	70.4	0	0
59	86	ABMA	Adult	50.1	0	0
65.5	54	ABMA	Adult	1.4	0	0
58	84	ABMA	Adult	10.3	0	0
58	85	ABMA	Adult	8.7	0	0
54	96	ABMA	Adult	35	0	0
62	57	ABMA	Adult	24	0	0
71	50	PIMO	Adult	3.8	0	0
70	50	ABMA	Adult	2.7	0	0
70	48	PIMO	Adult	14.3	0	0
68	50	ABMA	Adult	3.7	0	0
72	46	ABMA	Adult	6.2	0	0
68	93	ABMA	Adult	11.9	0	0
67	92	ABCO	Adult	1.6	0	0
66	91	ABMA	Adult	3.5	0	0
66	91	ABMA	Adult	3	0	0
79	38	ABCO	Adult	91	0	0
79.5	39	PICO	Adult	78.5	0	0
75	22	ABMA	Adult	92.6	0	0
65	34	ABMA	Adult	8.9	0	0
76	23	ABMA	Adult	49.5	0	0
79	27	PICO	Adult	5	0	0
57	26	ABMA	Adult	69.5	0	0
54	20	ABMA	Adult	29.4	0	0
52	19.5	ABMA	Adult	53.2	0	0
48	22	ABMA	Adult	31.1	0	0
48	26	ABMA	Adult	60.1	0	0
42	28	ABMA	Adult	23.5	0	0
42	23	ABMA	Adult	7.1	0	0
42	26	ABMA	Adult	7.7	0	0
79	45	ABMA	Adult	13.8	0	0
65	42	ABMA	Adult	87.3	0	0
63	43	ABMA	Adult	47.3	0	0
73	42	ABCO	Adult	9.8	0	0
49.5	50	ABMA	Adult	3	0	0
41	58	ABMA	Adult	2.6	0	0
39	51	ABMA	Adult	1.4	0	0
48	56	ABCO	Adult	5	0	0
47	56	ABCO	Adult	15.6	0	0
53	83	ABCO	Adult	44.7	0	0
76	79	ABMA	Adult	25.9	0	0
46	58	ABCO	Adult	7.1	0	0
43	59	ABCO	Adult	1.4	0	0
60	55	ABCO	Adult	3.1	0	0
60	41	ABMA	Adult	1.6	0	0
44	56	PIMO	Adult	12.8	0	0
55	75	ABCO	Adult	18.1	0	0
63	83	ABCO	Adult	63.5	0	0
59	72	ABMA	Adult	85.7	0	0
61	53	ABCO	Adult	2.2	0	0
53	88	ABMA	Adult	13.6	0	0
21	87	ABMA	Adult	19.1	0	0
54	91	ABMA	Adult	4.5	0	0
24	82	ABMA	Adult	21.1	0	0
27	84	ABMA	Adult	23.8	0	0
32.5	83	ABCO	Adult	19.8	0	0
22	82	ABMA	Adult	17	0	0
65	68	ABMA	Adult	2.2	0	0
48	93	ABCO	Adult	8.8	0	0
66	69	ABMA	Adult	6.3	0	0
76	64	ABMA	Adult	74.2	0	0
50	68	ABMA	Adult	123.1	0	0
49	87	ABMA	Adult	29.8	0	0
49	91.5	ABMA	Adult	54.7	0	0
61	62	PIMO	Adult	9	0	0
23	76	PIMO	Adult	70.4	0	0
8	79	ABMA	Adult	11.5	0	0
70	60	ABMA	Adult	11.1	0	0
34	87	ABMA	Adult	13.8	0	0
68	60	ABMA	Adult	81.5	0	0
17	90	ABMA	Adult	3.4	0	0
76	62.5	ABMA	Adult	35.5	0	0
6	75	ABMA	Adult	9.3	0	0
76	62	ABCO	Adult	71.2	0	0
30	76	ABMA	Adult	81.6	0	0
30	78	ABMA	Adult	26	0	0
35.5	78	ABCO	Adult	41.5	0	0
41	88.5	ABMA	Adult	40.1	0	0
40	76	ABCO	Adult	98.9	0	0
9	79	PIMO	Adult	1.6	0	0
44	94	PIMO	Adult	19.5	0	0
32.5	81	ABCO	Adult	35.7	0	0
20	76	ABCO	Adult	124.9	0	0
33	61	ABCO	Adult	6.9	0	0
36	63	ABMA	Adult	9.8	0	0
31	65	ABMA	Adult	13.6	0	0
36	60	ABMA	Adult	84.7	0	0
7	68	ABMA	Adult	11	0	0
29	35	ABCO	Adult	18.8	0	0
14	63	ABCO	Adult	3.4	0	0
7	67	ABCO	Adult	33.8	0	0
9	51	ABCO	Adult	18.1	0	0
15	54	ABMA	Adult	12.1	0	0
17	53	ABMA	Adult	38.9	0	0
17.5	53.5	ABMA	Adult	11.7	0	0
20	63	ABCO	Adult	133	0	0
38	59	ABMA	Adult	37.9	0	0
