X	Y	Species	Type	Diam	Height	ParamG1
7.5	0.5	ABCO	Adult	69.9	0	0
36	17	ABCO	Adult	113.5	0	0
33	13	ABCO	Adult	105.9	0	0
17.5	0.5	PIPO	Adult	59.8	0	0
19	5	ABCO	Adult	32.3	0	0
26	2	ABCO	Adult	38.8	0	0
28.5	5.5	ABCO	Adult	31.6	0	0
22	8.5	ABCO	Adult	42.9	0	0
34	12.5	ABCO	Adult	98.5	0	0
35	8.5	PIPO	Adult	102.4	0	0
32	2	ABCO	Adult	51.7	0	0
38	1.5	ABCO	Adult	37.4	0	0
40.5	0	ABCO	Adult	59	0	0
47	0.5	ABCO	Adult	28.9	0	0
47.5	2	ABCO	Adult	40.9	0	0
46	7	ABCO	Adult	51.1	0	0
42	10.5	ABCO	Adult	86.2	0	0
41	17	ABCO	Adult	42.7	0	0
51	20.5	CADE	Adult	49.4	0	0
50	9	ABCO	Adult	58.6	0	0
51	4	ABCO	Adult	66.7	0	0
51.5	4	CADE	Adult	56.9	0	0
52	4	ABCO	Adult	32.4	0	0
57	2	ABCO	Adult	50.5	0	0
59.5	2.5	ABCO	Adult	54.6	0	0
60	5.5	ABCO	Adult	24.6	0	0
56	9	ABCO	Adult	33.9	0	0
56	7.5	ABCO	Adult	18.6	0	0
58.5	8	ABCO	Adult	26.3	0	0
9.5	22	ABCO	Adult	128.7	0	0
8	25	ABCO	Adult	109.1	0	0
59	10	CADE	Adult	28.3	0	0
23	29.5	ABCO	Adult	40.4	0	0
33.5	31	ABCO	Adult	54	0	0
33	30	ABCO	Adult	61.3	0	0
37	31	ABCO	Adult	86.9	0	0
37	30	ABCO	Adult	57.1	0	0
36	26.5	ABCO	Adult	47	0	0
33	20	ABCO	Adult	87.9	0	0
27.5	18.5	ABCO	Adult	62.8	0	0
40.5	27.5	ABCO	Adult	114.9	0	0
47.5	23	ABCO	Adult	102.3	0	0
53	22	PILA	Adult	76.6	0	0
57	23	PIJE	Adult	48.6	0	0
52	27	ABCO	Adult	58.1	0	0
60	22.5	PIJE	Adult	42.5	0	0
