X	Y	Species	Type	Diam	Height	ParamG1
16	6	ABMA	Adult	75.3	0	0
15.5	7	ABCO	Adult	7.3	0	0
16	8	ABCO	Adult	16.8	0	0
14	17	ABCO	Adult	17.5	0	0
19	14	ABCO	Adult	49.4	0	0
17.5	19.5	ABCO	Adult	9.6	0	0
18	21	ABCO	Adult	5.2	0	0
20	19	ABCO	Adult	26.8	0	0
23	22	ABMA	Adult	128.5	0	0
26	25	ABCO	Adult	7	0	0
19	10	ABCO	Adult	6.5	0	0
19	9	ABCO	Adult	8.6	0	0
21	6	ABCO	Adult	6.3	0	0
21	3	ABCO	Adult	27	0	0
26.5	5	ABCO	Adult	15.3	0	0
26	8	ABCO	Adult	3.5	0	0
28.5	2	ABCO	Adult	72.2	0	0
34	4	ABCO	Adult	10.6	0	0
36	1.5	PILA	Adult	1.3	0	0
38	2	ABCO	Adult	1.7	0	0
40	8	ABCO	Adult	15	0	0
40	9	ABCO	Adult	22.5	0	0
34	17	ABCO	Adult	8.4	0	0
34	19	ABCO	Adult	8.4	0	0
35	21	ABMA	Adult	5.5	0	0
34	21.5	ABCO	Adult	12.9	0	0
34.5	21.5	ABCO	Adult	4	0	0
34.5	22	ABCO	Adult	3.3	0	0
35	21.5	ABCO	Adult	24.7	0	0
35	22	ABCO	Adult	3	0	0
36.5	21	ABMA	Adult	6.3	0	0
35	21	ABMA	Adult	12.1	0	0
38	22	ABCO	Adult	25.1	0	0
31.5	25	ABCO	Adult	3.9	0	0
31	25	ABCO	Adult	7	0	0
32	25	ABCO	Adult	7.6	0	0
31	26	ABCO	Adult	7.8	0	0
30	26	ABCO	Adult	25.2	0	0
22	56	ABMA	Adult	21.3	0	0
23	56	ABCO	Adult	17.1	0	0
24	55.5	ABMA	Adult	20.7	0	0
25	55	ABMA	Adult	30.3	0	0
25	54	ABCO	Adult	8.3	0	0
26	54	ABCO	Adult	7.6	0	0
26	55.5	ABCO	Adult	20.8	0	0
22.5	59	ABCO	Adult	25.6	0	0
28.5	55.5	ABCO	Adult	15.9	0	0
30	54.5	ABMA	Adult	28.4	0	0
26	54	ABCO	Adult	33	0	0
