X	Y	Species	Type	Diam	Height	ParamG1
0	2	PIPO	Adult	8.6	0	0
0.5	2	PIPO	Adult	1.5	0	0
2	1.5	QUKE	Adult	6.9	0	0
2.5	1.5	QUKE	Adult	3.3	0	0
1.5	6	PIPO	Adult	84.7	0	0
1	6	QUKE	Adult	2	0	0
0.5	6	QUKE	Adult	1.8	0	0
2	6	QUKE	Adult	1.1	0	0
6.5	5	QUKE	Adult	5.3	0	0
6	3	PIPO	Adult	9.6	0	0
2	9	QUKE	Adult	10.2	0	0
3	9	QUKE	Adult	11.7	0	0
4	10	QUKE	Adult	3.7	0	0
6	11	CADE	Adult	8.1	0	0
5	12.5	PILA	Adult	7.1	0	0
5	15	PIPO	Adult	15.5	0	0
2	18	ABCO	Adult	17.3	0	0
0	17	ABCO	Adult	14.7	0	0
0.5	17	PIPO	Adult	6.6	0	0
3.5	19	ABCO	Adult	6.8	0	0
5	20	PIPO	Adult	3.9	0	0
8	18	PILA	Adult	7	0	0
8.5	18	PILA	Adult	5.9	0	0
8.5	10	QUKE	Adult	3	0	0
8	9	PIPO	Adult	9.8	0	0
7	7.5	PIPO	Adult	10.2	0	0
9	6	PIPO	Adult	15.6	0	0
4.5	8	QUKE	Adult	2.5	0	0
4	7.5	QUKE	Adult	1.8	0	0
4	8	QUKE	Adult	2.5	0	0
5	10	QUKE	Adult	3.6	0	0
5	11	QUKE	Adult	2.6	0	0
13	7	QUKE	Adult	2.4	0	0
6	11.5	PIPO	Adult	99	0	0
6.5	0	PIPO	Adult	7.2	0	0
6.5	3	PIPO	Adult	4.1	0	0
17	4.5	CADE	Adult	63	0	0
17	5.5	PILA	Adult	7.7	0	0
17.5	5.5	ABCO	Adult	7.4	0	0
18	5	PIPO	Adult	1.3	0	0
17	6	PILA	Adult	2.4	0	0
11.5	10	QUKE	Adult	6.5	0	0
13	9	PIPO	Adult	1.4	0	0
12.5	8.5	QUKE	Adult	5.1	0	0
12	9	QUKE	Adult	4.9	0	0
11	9	QUKE	Adult	8.8	0	0
10.5	9	QUKE	Adult	3.1	0	0
10	9	QUKE	Adult	3.5	0	0
10	8	QUKE	Adult	5.3	0	0
9.5	9	QUKE	Adult	5.5	0	0
9.5	9.5	QUKE	Adult	2.8	0	0
7	15	QUKE	Adult	2	0	0
14	20	ABCO	Adult	40.8	0	0
18.5	19	ABCO	Adult	32.4	0	0
16	30	ABCO	Adult	35.6	0	0
11	24	ABCO	Adult	48.8	0	0
21	35	ABCO	Adult	63.6	0	0
10	35	ABCO	Adult	52.7	0	0
8.5	49	ABCO	Adult	21.5	0	0
9	46	ABCO	Adult	62.1	0	0
12	54	PIPO	Adult	60.6	0	0
13	58.5	ABCO	Adult	69.2	0	0
20	50	ABCO	Adult	29.1	0	0
20	48	QUKE	Adult	34.8	0	0
36	59.5	ABCO	Adult	18.2	0	0
46	23	ABCO	Adult	32.9	0	0
42	25	PILA	Adult	19.7	0	0
20	39.5	ABCO	Adult	32.1	0	0
26	49	ABCO	Adult	63.2	0	0
