X	Y	Species	Type	Diam	Height	ParamG1
43.483	0.85	ABCO	Adult	53.79999924	0	0
39.503	0.87	ABCO	Adult	37.79999924	0	0
38.225	1	ABCO	Adult	10.5	0	0
13.465	1.13	ABCO	Adult	94.40000153	0	0
79.595	2.05	ABCO	Adult	12.10000038	0	0
62.285	2.25	ABCO	Adult	13	0	0
79.324	3.31	ABCO	Adult	34.79999924	0	0
78.074	4.21	ABCO	Adult	14.80000019	0	0
16.815	4.24	ABCO	Adult	3	0	0
51.744	4.3	PILA	Adult	163.3999939	0	0
67.083	4.51	ABCO	Adult	72.80000305	0	0
17.744	4.7	ABCO	Adult	9.600000381	0	0
42.475	5.13	ABCO	Adult	66.80000305	0	0
41.225	5.34	CADE	Adult	11	0	0
65.873	5.44	ABCO	Adult	2.400000095	0	0
52.225	5.67	ABCO	Adult	14.19999981	0	0
16.003	5.82	ABCO	Adult	3.200000048	0	0
93.343	5.97	CADE	Adult	56.70000076	0	0
43.164	6.14	ABCO	Adult	49.40000153	0	0
79.075	6.19	PILA	Adult	4.300000191	0	0
51.504	6.2	ABCO	Adult	6.400000095	0	0
74.274	6.25	ABCO	Adult	17.20000076	0	0
92.034	6.54	CADE	Adult	81.09999847	0	0
77.815	6.75	ABCO	Adult	17.10000038	0	0
16.694	6.82	ABCO	Adult	11	0	0
42.585	6.98	ABCO	Adult	70.5	0	0
66.983	7.19	PILA	Adult	15.19999981	0	0
41.064	7.45	ABCO	Adult	13.5	0	0
74.633	7.66	PILA	Adult	16.39999962	0	0
97.363	8.16	ABCO	Adult	18.10000038	0	0
41.435	8.37	ABCO	Adult	14.69999981	0	0
68.544	8.58	PILA	Adult	16.29999924	0	0
64.664	9.32	ABCO	Adult	52.29999924	0	0
84.011	9.52	ABCO	Adult	3.599999905	0	0
41.115	9.54	ABCO	Adult	8.199999809	0	0
42.034	9.72	ABCO	Adult	22.60000038	0	0
83.503	10.47	ABCO	Adult	7.599999905	0	0
15.604	10.59	ABCO	Adult	3.700000048	0	0
80.629	10.62	ABCO	Adult	11.60000038	0	0
79.154	10.74	ABCO	Adult	4.800000191	0	0
68.374	10.95	ABCO	Adult	12.69999981	0	0
44.164	11.24	ABCO	Adult	19.39999962	0	0
31.384	11.3	ABCO	Adult	35.5	0	0
16.264	11.34	ABCO	Adult	16.10000038	0	0
79.775	11.48	ABCO	Adult	14.30000019	0	0
91.414	11.83	ABCO	Adult	49.59999847	0	0
49.064	12.08	ABCO	Adult	2.700000048	0	0
32.544	12.47	ABCO	Adult	124	0	0
25.953	12.56	ABCO	Adult	68.09999847	0	0
79.194	12.61	ABCO	Adult	7.099999905	0	0
78.345	12.62	ABCO	Adult	0.800000012	0	0
59.905	12.71	ABCO	Adult	6.099999905	0	0
48.854	13	ABCO	Adult	24.29999924	0	0
48.368	13.06	ABCO	Adult	60.5	0	0
67.604	13.3	ABCO	Adult	12.19999981	0	0
29.954	13.8	ABCO	Adult	9.800000191	0	0
89.664	13.8	ABCO	Adult	27.89999962	0	0
68.014	13.83	ABCO	Adult	2.799999952	0	0
79.264	13.9	ABCO	Adult	14.80000019	0	0
64.165	14.37	ABCO	Adult	15.69999981	0	0
67.305	14.38	ABCO	Adult	12.5	0	0
54.604	14.47	ABCO	Adult	4.199999809	0	0
78.363	14.57	ABCO	Adult	16.5	0	0
28.515	14.59	ABCO	Adult	28.5	0	0
43.444	14.59	ABCO	Adult	23.39999962	0	0
27.775	15.8	ABCO	Adult	67	0	0
74.017	16.32	ABCO	Adult	2.700000048	0	0
30.015	16.67	ABCO	Adult	10.60000038	0	0
34.613	16.75	PILA	Adult	19.89999962	0	0
27.925	17	ABCO	Adult	9.800000191	0	0
1.135	17.75	ABCO	Adult	21	0	0
95.534	17.94	PILA	Adult	160	0	0
52.243	17.95	ABCO	Adult	3	0	0
42.263	17.96	ABCO	Adult	48	0	0
52.106	18.05	ABCO	Adult	0.5	0	0
62.723	18.38	ABCO	Adult	11.10000038	0	0
81.074	18.6	CADE	Adult	5.300000191	0	0
73.228	18.74	ABCO	Adult	25.5	0	0
75.209	19.24	ABCO	Adult	3	0	0
15.964	19.31	ABCO	Adult	8.699999809	0	0
84.901	19.412	ABCO	Adult	14.89999962	0	0
63.103	19.6	ABCO	Adult	27.5	0	0
85.232	19.729	ABCO	Adult	35.79999924	0	0
66.703	20.8	ABCO	Adult	22.89999962	0	0
16.143	20.97	ABCO	Adult	13.69999981	0	0
83.843	20.98	ABCO	Adult	42	0	0
82.425	21.03	ABCO	Adult	44.70000076	0	0
11.113	21.06	ABCO	Adult	6	0	0
86.484	21.16	ABCO	Adult	34.70000076	0	0
63.715	21.45	ABCO	Adult	21.5	0	0
17.004	21.8	ABCO	Adult	42.29999924	0	0
64.883	21.92	ABCO	Adult	7.199999809	0	0
84.014	22.07	ABCO	Adult	20	0	0
0.883	22.15	ABCO	Adult	6.900000095	0	0
9.214	22.46	ABCO	Adult	20.60000038	0	0
97.634	22.61	ABCO	Adult	15.5	0	0
13.164	23.21	ABCO	Adult	10.80000019	0	0
29.723	23.3	CADE	Adult	25.79999924	0	0
17.314	23.86	ABCO	Adult	1.799999952	0	0
23.305	24.31	ABCO	Adult	30	0	0
4.324	24.37	ABCO	Adult	8.800000191	0	0
8.055	24.44	ABCO	Adult	26.10000038	0	0
18.434	24.56	ABCO	Adult	27.29999924	0	0
3.074	25.03	PILA	Adult	79.80000305	0	0
48.893	25.54	ABCO	Adult	1.299999952	0	0
46.465	25.59	ABCO	Adult	8.300000191	0	0
47.414	25.6	ABCO	Adult	15	0	0
50.013	25.66	ABCO	Adult	6.699999809	0	0
28.604	25.86	ABCO	Adult	68.5	0	0
48.263	25.92	ABCO	Adult	9.600000381	0	0
22.51	25.95	ABCO	Adult	21.5	0	0
14.484	25.96	ABCO	Adult	76.30000305	0	0
21.14	26.08	ABCO	Adult	115.8000031	0	0
45.984	26.15	ABCO	Adult	1.600000024	0	0
95.571	26.16	CADE	Adult	0.699999988	0	0
49.815	26.4	ABCO	Adult	14.89999962	0	0
46.705	26.42	ABCO	Adult	1.5	0	0
47.603	26.43	ABCO	Adult	10.30000019	0	0
81.935	26.49	CADE	Adult	3.599999905	0	0
27.925	26.62	ABCO	Adult	12.5	0	0
48.233	26.77	ABCO	Adult	10.39999962	0	0
48.963	26.9	ABCO	Adult	5.599999905	0	0
79.523	27	ABCO	Adult	18.10000038	0	0
99.873	27.43	ABCO	Adult	14.89999962	0	0
14.594	27.75	ABCO	Adult	87.40000153	0	0
78.534	27.81	ABCO	Adult	5	0	0
79.583	27.81	ABCO	Adult	16	0	0
84.233	27.82	PILA	Adult	10.69999981	0	0
96.231	27.95	ABCO	Adult	2.099999905	0	0
98.301	28.03	ABCO	Adult	13.10000038	0	0
99.633	28.36	ABCO	Adult	14.5	0	0
95.714	28.42	CADE	Adult	5.5	0	0
80.073	28.66	PILA	Adult	0.899999976	0	0
91.493	28.8	ABCO	Adult	3.599999905	0	0
92.625	28.96	ABCO	Adult	1.600000024	0	0
92.284	29.04	ABCO	Adult	9.100000381	0	0
80.213	29.18	ABCO	Adult	0.400000006	0	0
79.364	29.2	ABCO	Adult	9.100000381	0	0
24.12	29.21	ABCO	Adult	62.5	0	0
95.709	29.21	ABCO	Adult	5.5	0	0
98.044	29.29	ABCO	Adult	7.699999809	0	0
9.193	29.48	ABCO	Adult	36.29999924	0	0
91.654	29.63	ABCO	Adult	11.80000019	0	0
78.734	29.73	ABCO	Adult	9.100000381	0	0
93.173	30.62	ABCO	Adult	14.80000019	0	0
91.785	30.84	ABCO	Adult	19.60000038	0	0
4.035	30.92	ABCO	Adult	102.3000031	0	0
84.333	31.04	ABCO	Adult	2.299999952	0	0
77.264	31.41	ABCO	Adult	10.89999962	0	0
73.548	31.61	ABCO	Adult	0.300000012	0	0
48.333	31.7	ABCO	Adult	34.5	0	0
93.084	31.81	ABCO	Adult	27.60000038	0	0
88.544	31.96	ABCO	Adult	1.799999952	0	0
66.454	32.21	ABCO	Adult	116.9000015	0	0
77.715	32.45	ABCO	Adult	11.80000019	0	0
48.765	32.5	ABCO	Adult	7.5	0	0
98.933	32.6	ABCO	Adult	6.5	0	0
89.844	32.78	CADE	Adult	7.400000095	0	0
22.75	32.86	PILA	Adult	0.5	0	0
94.51	33.14	CADE	Adult	0.400000006	0	0
87.194	33.22	ABCO	Adult	25.60000038	0	0
89.471	33.24	CADE	Adult	0.300000012	0	0
91.72	33.4	ABCO	Adult	0.600000024	0	0
78.233	33.48	ABCO	Adult	1.299999952	0	0
89.904	33.68	ABCO	Adult	18.10000038	0	0
99.054	33.71	ABCO	Adult	10.89999962	0	0
86.685	34.04	ABCO	Adult	4.300000191	0	0
94.344	34.06	ABCO	Adult	4.099999905	0	0
36.475	34.09	ABCO	Adult	13.69999981	0	0
77.81	34.25	ABCO	Adult	1.399999976	0	0
84.044	34.28	ABCO	Adult	25.20000076	0	0
77.694	35.42	ABCO	Adult	13.89999962	0	0
80.883	35.54	ABCO	Adult	1.899999976	0	0
53.473	35.78	ABCO	Adult	3.900000095	0	0
89.578	35.84	ABCO	Adult	2.299999952	0	0
79.324	35.89	PILA	Adult	23.20000076	0	0
92.174	36	ABCO	Adult	8.300000191	0	0
81.233	36.08	ABCO	Adult	2.799999952	0	0
78.104	36.33	ABCO	Adult	7	0	0
53.305	36.46	ABCO	Adult	9.100000381	0	0
80.743	36.67	ABCO	Adult	17.10000038	0	0
12.123	36.69	ABCO	Adult	127.5	0	0
66.554	36.7	ABCO	Adult	39.29999924	0	0
92.893	36.73	ABCO	Adult	3.200000048	0	0
74.621	36.77	ABCO	Adult	1.399999976	0	0
18.534	36.84	ABCO	Adult	42.90000153	0	0
81.324	36.87	ABCO	Adult	1.200000048	0	0
32.425	37.25	ABCO	Adult	17.39999962	0	0
42.324	37.39	ABCO	Adult	152.1999969	0	0
81.144	37.59	ABCO	Adult	2.599999905	0	0
64.573	37.9	ABCO	Adult	39.59999847	0	0
72.783	38.03	ABCO	Adult	16.79999924	0	0
96.497	38.11	ABCO	Adult	1.399999976	0	0
